gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	comparison	direction	significant_fdr
Arl5c	941.8390563931324	4.058560423896513	0.22030921113586768	18.42210955670639	8.733259798939614e-76	4.479368344147027e-73	Kdm6b-high vs Kdm6b-low	Higher in Kdm6b-high	TRUE
Mgst1	772.2326752508831	-4.88979047061585	0.2661021032041139	-18.37561752326749	2.0595064629607174e-75	1.0104117794803798e-72	Kdm6b-high vs Kdm6b-low	Higher in Kdm6b-low	TRUE
Dyrk2	910.2037596855849	2.266578334489163	0.12342647259961481	18.363794141972722	2.5607451355290896e-75	1.2039770045545938e-72	Kdm6b-high vs Kdm6b-low	Higher in Kdm6b-high	TRUE
Cxcl10	547.749767368092	2.4406251077977212	0.13330357528714668	18.308774558674944	7.043716952415439e-75	3.1792520836422325e-72	Kdm6b-high vs Kdm6b-low	Higher in Kdm6b-high	TRUE
Usp16	302.2817977890339	1.977391334294479	0.10888043215563993	18.161126798871283	1.0485040789491914e-73	4.5505077026394904e-71	Kdm6b-high vs Kdm6b-low	Higher in Kdm6b-high	TRUE
Nr4a3	1108.4748435796082	5.220828146071783	0.29878272908220005	17.473661085127336	2.2742166909623316e-68	9.504541163266277e-66	Kdm6b-high vs Kdm6b-low	Higher in Kdm6b-high	TRUE
Fabp5	4824.820450736935	-6.154291847672771	0.3536482435440087	-17.402297226189724	7.925957445070833e-68	3.169026478541303e-65	Kdm6b-high vs Kdm6b-low	Higher in Kdm6b-low	TRUE
Prr7	102.76154923239953	4.336956913664297	0.24923980104465313	17.400739751382243	8.144431750948049e-68	3.169026478541303e-65	Kdm6b-high vs Kdm6b-low	Higher in Kdm6b-high	TRUE
Nfkbib	2769.279723698736	2.866800195078768	0.16491084564390796	17.383939691080418	1.0918804558420368e-67	4.106926354573848e-65	Kdm6b-high vs Kdm6b-low	Higher in Kdm6b-high	TRUE
Plekhg2	427.5561082846192	2.9118696214694935	0.16772829441685988	17.360634540482128	1.6390190670085017e-67	5.966029403910947e-65	Kdm6b-high vs Kdm6b-low	Higher in Kdm6b-high	TRUE
Tmem88	434.99235792957364	3.0491365108106296	0.1767129479535668	17.25474305149288	1.030792361291474e-66	3.63483156400406e-64	Kdm6b-high vs Kdm6b-low	Higher in Kdm6b-high	TRUE
Lfng	2068.3584980185506	2.1857757543115555	0.12835696032444108	17.028883737871993	5.0151775480368e-65	1.7148867712741593e-62	Kdm6b-high vs Kdm6b-low	Higher in Kdm6b-high	TRUE
Kdm6b	6560.750396461524	4.120156212777663	0.2424115790885434	16.996532212979528	8.712376149909203e-65	2.891483896340454e-62	Kdm6b-high vs Kdm6b-low	Higher in Kdm6b-high	TRUE
Relb	472.19584340015615	3.37135425156516	0.1996548059904972	16.885915842795306	5.712295124637747e-64	1.8416439481832095e-61	Kdm6b-high vs Kdm6b-low	Higher in Kdm6b-high	TRUE
Maff	1302.931419416654	3.556381508910781	0.21081630748497418	16.869574993216595	7.533645826249536e-64	2.3613794306499935e-61	Kdm6b-high vs Kdm6b-low	Higher in Kdm6b-high	TRUE
Ptger4	1490.0015883215513	2.604102106684069	0.1545434886632932	16.850286797638397	1.0440712814177338e-63	3.184135226896678e-61	Kdm6b-high vs Kdm6b-low	Higher in Kdm6b-high	TRUE
Rel	3658.9667474399876	2.7759604357292345	0.1656390074554283	16.75909846583822	4.859367368549278e-63	1.438559695621437e-60	Kdm6b-high vs Kdm6b-low	Higher in Kdm6b-high	TRUE
Chd2	667.7137751179437	1.8260862404116005	0.10896974494004945	16.757736208488293	4.971980514820636e-63	1.438559695621437e-60	Kdm6b-high vs Kdm6b-low	Higher in Kdm6b-high	TRUE
Lgals3	9146.927970909865	-4.288563962364362	0.25625417476334716	-16.735586713172133	7.214275040805542e-63	2.0351469890112436e-60	Kdm6b-high vs Kdm6b-low	Higher in Kdm6b-low	TRUE
Fam133b	268.5307592266585	1.7755626630867216	0.10661241770237541	16.65437011327772	2.8129012976672458e-62	7.74165322997005e-60	Kdm6b-high vs Kdm6b-low	Higher in Kdm6b-high	TRUE
Tnf	2904.4626873317566	3.455337146808261	0.20854873863835624	16.56848739229323	1.177506829434919e-61	3.1635683484151494e-59	Kdm6b-high vs Kdm6b-low	Higher in Kdm6b-high	TRUE
Tamalin	818.9274691683207	4.254429093934846	0.2588225835849714	16.437627022365756	1.0286864923005849e-60	2.699464739330186e-58	Kdm6b-high vs Kdm6b-low	Higher in Kdm6b-high	TRUE
Senp2	1096.2832487162154	0.9989335337696723	0.060967715311926386	16.384631253752474	2.4625782108664726e-60	6.31539375714029e-58	Kdm6b-high vs Kdm6b-low	Higher in Kdm6b-high	TRUE
Idh1	193.78055222651855	-3.085700818534849	0.18864887449080744	-16.356847221398134	3.887392966147663e-60	9.747853828891162e-58	Kdm6b-high vs Kdm6b-low	Higher in Kdm6b-low	TRUE
Slc2a6	212.59984146822188	3.0449668041754383	0.18682911573667338	16.298138500356508	1.0174394139524142e-59	2.495823118921531e-57	Kdm6b-high vs Kdm6b-low	Higher in Kdm6b-high	TRUE
Jup	781.4693031572466	1.9265563672637138	0.11851546132104324	16.25573866725219	2.03402008551057e-59	4.883379286149207e-57	Kdm6b-high vs Kdm6b-low	Higher in Kdm6b-high	TRUE
Fgd3	806.4729592635575	1.2897215007328207	0.0796037114902377	16.201775979892435	4.899150763765297e-59	1.151708692048492e-56	Kdm6b-high vs Kdm6b-low	Higher in Kdm6b-high	TRUE
Ccl3	22038.367116130765	2.0854480645732925	0.12961917025097686	16.089040382956593	3.0452073196069778e-58	7.012677427437783e-56	Kdm6b-high vs Kdm6b-low	Higher in Kdm6b-high	TRUE
Txn1	2863.179148486605	-3.6841008435548286	0.2295179462915391	-16.051471804628285	5.5824383835987586e-58	1.2598446944105679e-55	Kdm6b-high vs Kdm6b-low	Higher in Kdm6b-low	TRUE
Ier2	4583.283908905138	1.7915303524887733	0.11209714791017855	15.981944107304985	1.7073682502366953e-57	3.7776359481707585e-55	Kdm6b-high vs Kdm6b-low	Higher in Kdm6b-high	TRUE
Herpud1	5262.909223719878	2.2228611625170966	0.1394855086979956	15.936144071638884	3.556317796759992e-57	7.717209618969183e-55	Kdm6b-high vs Kdm6b-low	Higher in Kdm6b-high	TRUE
Zrsr2	700.8315381519097	1.4582992957243355	0.0916146469934894	15.917752712925584	4.772115493481236e-57	1.0160104005366466e-54	Kdm6b-high vs Kdm6b-low	Higher in Kdm6b-high	TRUE
Lipa	1909.4715739320725	-2.8048076344885615	0.1768659959537283	-15.85837695575104	1.2303252770801596e-56	2.5709241530689854e-54	Kdm6b-high vs Kdm6b-low	Higher in Kdm6b-low	TRUE
Cd80	473.01136090134946	2.452227864196196	0.15489846547199898	15.831195336402384	1.895850640621898e-56	3.889596114323181e-54	Kdm6b-high vs Kdm6b-low	Higher in Kdm6b-high	TRUE
Batf	322.1349940989064	3.3919189150507623	0.21461293418621497	15.804820561782488	2.8820975343028968e-56	5.807426531620337e-54	Kdm6b-high vs Kdm6b-low	Higher in Kdm6b-high	TRUE
Tbc1d9	809.3807620822297	1.086588724209167	0.06883171428771725	15.78616391373336	3.8743624988199016e-56	7.669878322225223e-54	Kdm6b-high vs Kdm6b-low	Higher in Kdm6b-high	TRUE
Slc35b2	1210.4919762486684	1.9062941711477217	0.12080479085100582	15.779955064024268	4.274922900651292e-56	8.316936208784342e-54	Kdm6b-high vs Kdm6b-low	Higher in Kdm6b-high	TRUE
Insig1	674.353693248458	1.4985161151422095	0.09498820640035163	15.775812302701425	4.5648724503234005e-56	8.655264500727651e-54	Kdm6b-high vs Kdm6b-low	Higher in Kdm6b-high	TRUE
Nfkbia	2894.4599550210196	2.596816328020063	0.1646128257604783	15.775297678193004	4.602232098933526e-56	8.655264500727651e-54	Kdm6b-high vs Kdm6b-low	Higher in Kdm6b-high	TRUE
Nr4a1	3972.504527636118	2.701887403398053	0.17177901892239417	15.728855714438	9.59290545157309e-56	1.774530247795914e-53	Kdm6b-high vs Kdm6b-low	Higher in Kdm6b-high	TRUE
Nfkbid	1509.3233994228794	2.317358285023962	0.14752720117209198	15.70800683950304	1.3330455284724508e-55	2.4261428618198605e-53	Kdm6b-high vs Kdm6b-low	Higher in Kdm6b-high	TRUE
Anpep	1440.6801661035195	-5.016774521212968	0.31980820058484377	-15.686822639440225	1.8614247079932782e-55	3.334018476983516e-53	Kdm6b-high vs Kdm6b-low	Higher in Kdm6b-low	TRUE
Nfkbie	675.2276907971485	3.2354818981440383	0.20653034842526977	15.665890862111018	2.5877810434515586e-55	4.562581452235529e-53	Kdm6b-high vs Kdm6b-low	Higher in Kdm6b-high	TRUE
Zbtb2	144.0998829291931	2.3009439171826873	0.14767744980471087	15.58087521300959	9.820094015733526e-55	1.70476832113134e-52	Kdm6b-high vs Kdm6b-low	Higher in Kdm6b-high	TRUE
Adamts1	4474.353412334626	2.106389425969681	0.13528240070402844	15.570313765927697	1.1583759935272995e-54	1.9804719259033404e-52	Kdm6b-high vs Kdm6b-low	Higher in Kdm6b-high	TRUE
Gpr132	165.47375390938404	4.344999692125485	0.28038387618016236	15.49661040185342	3.65681925223046e-54	6.158738573457987e-52	Kdm6b-high vs Kdm6b-low	Higher in Kdm6b-high	TRUE
Chd7	1030.6119809834772	1.3509699848061527	0.08720514324859711	15.49186131091971	3.937245050262063e-54	6.533510756934871e-52	Kdm6b-high vs Kdm6b-low	Higher in Kdm6b-high	TRUE
Jmjd1c	4019.6853081585405	2.123811098037276	0.1374457064227231	15.452000308437125	7.313801509761957e-54	1.1960715396544046e-51	Kdm6b-high vs Kdm6b-low	Higher in Kdm6b-high	TRUE
Ankrd33b	270.36268336261037	4.291233993659668	0.2777459292960983	15.45021381424059	7.519361049478899e-54	1.2121210011759983e-51	Kdm6b-high vs Kdm6b-low	Higher in Kdm6b-high	TRUE
Mtmr12	229.8181767288773	2.5499231327633276	0.1655937096593117	15.398671471334719	1.6706655379568105e-53	2.6551816803245987e-51	Kdm6b-high vs Kdm6b-low	Higher in Kdm6b-high	TRUE
Ccl4	16221.78772424321	2.1351592278113767	0.13933572446305878	15.32384631464315	5.298698788371488e-53	8.30423848999776e-51	Kdm6b-high vs Kdm6b-low	Higher in Kdm6b-high	TRUE
Nlrp3	2004.4100292625349	3.0270199456592324	0.19762025618348306	15.31735665218831	5.855063643003865e-53	9.050484677761043e-51	Kdm6b-high vs Kdm6b-low	Higher in Kdm6b-high	TRUE
Nfkb2	1205.1777315253098	3.2840381475204126	0.21579579670751484	15.218267443695996	2.6752230334634666e-52	4.0793536094056427e-50	Kdm6b-high vs Kdm6b-low	Higher in Kdm6b-high	TRUE
Egr1	31643.746497267613	1.786863292999901	0.11837621267572465	15.094783424899454	1.752624170243802e-51	2.6368814849374755e-49	Kdm6b-high vs Kdm6b-low	Higher in Kdm6b-high	TRUE
Mtmr14	202.23372162639808	1.9025012118772295	0.12675049374618633	15.009813024373107	6.332595989281112e-51	9.402238571453693e-49	Kdm6b-high vs Kdm6b-low	Higher in Kdm6b-high	TRUE
Siah1a	138.7686985264026	1.8893391889515219	0.12629035278231246	14.960281187971567	1.3346094265735998e-50	1.955809450578766e-48	Kdm6b-high vs Kdm6b-low	Higher in Kdm6b-high	TRUE
Fbxo11	421.0114395885298	1.5562919415433782	0.10419683700097719	14.93607662513578	1.919486827660506e-50	2.7768576106821985e-48	Kdm6b-high vs Kdm6b-low	Higher in Kdm6b-high	TRUE
Sec24a	205.05905422155726	2.333494379142733	0.1568498492309448	14.877249742885692	4.631505606831718e-50	6.615431552846721e-48	Kdm6b-high vs Kdm6b-low	Higher in Kdm6b-high	TRUE
Tgif2	262.86880497666607	2.6183816833512754	0.17631369587843615	14.850699319221256	6.884670221745536e-50	9.71082734777208e-48	Kdm6b-high vs Kdm6b-low	Higher in Kdm6b-high	TRUE
Ddx3y	1406.439139925661	1.1272960290375191	0.07616783185840312	14.800159089905243	1.4613657160635186e-49	2.0358087333408324e-47	Kdm6b-high vs Kdm6b-low	Higher in Kdm6b-high	TRUE
Taf4b	174.58100679202863	3.130932041036546	0.2121891885865564	14.75537967741167	2.840881253835953e-49	3.9093297644249874e-47	Kdm6b-high vs Kdm6b-low	Higher in Kdm6b-high	TRUE
Arl13b	259.7390293675248	2.3883292067503614	0.1622995181228561	14.715565605946313	5.121621328036046e-49	6.962936754886596e-47	Kdm6b-high vs Kdm6b-low	Higher in Kdm6b-high	TRUE
Hnrnpu	563.0624668248033	0.7702647726494368	0.052373126276570654	14.707252123576556	5.791168540960398e-49	7.779469740023469e-47	Kdm6b-high vs Kdm6b-low	Higher in Kdm6b-high	TRUE
Slc7a6	186.89925467004227	2.2055297186238256	0.15070521755911206	14.634727014403046	1.6865122896165514e-48	2.2388946677686076e-46	Kdm6b-high vs Kdm6b-low	Higher in Kdm6b-high	TRUE
Lonrf1	202.9772911815504	2.2351393496752006	0.15292290007812856	14.616119289741851	2.2168098745140244e-48	2.908660770234448e-46	Kdm6b-high vs Kdm6b-low	Higher in Kdm6b-high	TRUE
Klf7	139.5882990487714	1.8342993487194976	0.12625102475548663	14.52898582226979	7.938707472901882e-48	1.0296594841864924e-45	Kdm6b-high vs Kdm6b-low	Higher in Kdm6b-high	TRUE
Sun2	1705.6438799157131	1.4882806271968294	0.10257823088145958	14.508737520699702	1.0666568990211132e-47	1.3677450509720727e-45	Kdm6b-high vs Kdm6b-low	Higher in Kdm6b-high	TRUE
Hnrnpk	1140.7623663512175	1.221600854915095	0.08432376641595783	14.48702906472538	1.4633662883052634e-47	1.853267898630473e-45	Kdm6b-high vs Kdm6b-low	Higher in Kdm6b-high	TRUE
Picalm	403.45052340471113	1.3899490898963476	0.09594895775766496	14.486338594806783	1.4781470301022914e-47	1.853267898630473e-45	Kdm6b-high vs Kdm6b-low	Higher in Kdm6b-high	TRUE
Arl5b	878.5262955092436	2.3257192600237566	0.16095345613941964	14.449638521643134	2.520049385909845e-47	3.124861238528208e-45	Kdm6b-high vs Kdm6b-low	Higher in Kdm6b-high	TRUE
Erbin	1374.9705557119435	1.468234338136191	0.1023824970208026	14.340677174906837	1.2186055072759378e-46	1.494646146098009e-44	Kdm6b-high vs Kdm6b-low	Higher in Kdm6b-high	TRUE
Ubn1	499.2877224753238	0.9985957148993279	0.06967989477521065	14.331188617905156	1.3970880095902936e-46	1.6951334516362228e-44	Kdm6b-high vs Kdm6b-low	Higher in Kdm6b-high	TRUE
Dyrk1a	345.6606212657303	2.057351587642267	0.1435748570042152	14.329469870771769	1.4320959732187572e-46	1.7191245704043038e-44	Kdm6b-high vs Kdm6b-low	Higher in Kdm6b-high	TRUE
Syncrip	580.5294623834538	1.1046811385048512	0.07712321738215241	14.323587319121525	1.5586535346013056e-46	1.8513522615201193e-44	Kdm6b-high vs Kdm6b-low	Higher in Kdm6b-high	TRUE
Msrb1	1625.8914784813812	-3.8405436223238167	0.26822367971133315	-14.318436114429101	1.678581452069461e-46	1.973032615119979e-44	Kdm6b-high vs Kdm6b-low	Higher in Kdm6b-low	TRUE
Cks2	141.1168494089392	2.4624946967908943	0.17200238153029865	14.316631402903685	1.722734629886294e-46	2.0040554189316436e-44	Kdm6b-high vs Kdm6b-low	Higher in Kdm6b-high	TRUE
Ube2f	1893.7806286858458	1.8455844369171646	0.12946287329866923	14.255704279476513	4.1311342513907385e-46	4.756706009458479e-44	Kdm6b-high vs Kdm6b-low	Higher in Kdm6b-high	TRUE
Zfp593	176.78995669410233	1.8371785769554945	0.12899236660109514	14.242537177699141	4.9882582834877194e-46	5.685606714229841e-44	Kdm6b-high vs Kdm6b-low	Higher in Kdm6b-high	TRUE
Klrb1b	85.08407998695324	8.955413914415269	0.6308400304173255	14.196014017200065	9.697350429788465e-46	1.0942490224973305e-43	Kdm6b-high vs Kdm6b-low	Higher in Kdm6b-high	TRUE
Map3k14	334.95516536406114	2.170933070709852	0.1531291737836249	14.177135663106439	1.2692226160754662e-45	1.4180106930490655e-43	Kdm6b-high vs Kdm6b-low	Higher in Kdm6b-high	TRUE
Phlda1	411.29917072342363	2.586496045084848	0.18342443529052715	14.101153104209263	3.73614538017294e-45	4.133202399007005e-43	Kdm6b-high vs Kdm6b-low	Higher in Kdm6b-high	TRUE
Traf6	308.62749606854896	1.4305811044074555	0.10153556710703038	14.089457962050435	4.409329355118059e-45	4.830570140111862e-43	Kdm6b-high vs Kdm6b-low	Higher in Kdm6b-high	TRUE
Ranbp2	947.3715998568815	1.5757893013670883	0.11201797245255357	14.067289979155184	6.03376303189672e-45	6.546632889607941e-43	Kdm6b-high vs Kdm6b-low	Higher in Kdm6b-high	TRUE
Stra6l	241.87252539635276	-5.74837223378044	0.4090208049957037	-14.053984940548	7.281851191039593e-45	7.825562746637216e-43	Kdm6b-high vs Kdm6b-low	Higher in Kdm6b-low	TRUE
Dusp16	163.825117342107	2.992345947421415	0.21315282273651542	14.038500213156189	9.060994300543897e-45	9.622247042293547e-43	Kdm6b-high vs Kdm6b-low	Higher in Kdm6b-high	TRUE
Gls	735.401434399999	1.4322860652296097	0.10202915931795271	14.038007122710745	9.124250562968889e-45	9.622247042293547e-43	Kdm6b-high vs Kdm6b-low	Higher in Kdm6b-high	TRUE
Fbxw11	1177.7246110426352	2.0619730955354245	0.14723445595742396	14.004691239744105	1.4591248025645061e-44	1.5245152103831376e-42	Kdm6b-high vs Kdm6b-low	Higher in Kdm6b-high	TRUE
Cd86	2466.2090685504218	2.099913737598098	0.1500946413991013	13.9905976524134	1.7791054107516388e-44	1.8417821518276597e-42	Kdm6b-high vs Kdm6b-low	Higher in Kdm6b-high	TRUE
Pdgfb	1265.5979624792658	2.0205677172153718	0.14473284958274268	13.960671147155354	2.708709996669427e-44	2.7786439638561646e-42	Kdm6b-high vs Kdm6b-low	Higher in Kdm6b-high	TRUE
Pcf11	1232.8867470166117	1.2320795575654844	0.08846551735086625	13.927229438775445	4.328219528026435e-44	4.399966590472999e-42	Kdm6b-high vs Kdm6b-low	Higher in Kdm6b-high	TRUE
Atp6v0d2	743.3947881166963	-7.8791164389304464	0.5668699628307963	-13.89933663019338	6.393113325384634e-44	6.441061675325019e-42	Kdm6b-high vs Kdm6b-low	Higher in Kdm6b-low	TRUE
Ccnl1	4645.201012584027	1.9656603687984158	0.14192545327534786	13.849949557567111	1.2730145502525165e-43	1.2641178662888846e-41	Kdm6b-high vs Kdm6b-low	Higher in Kdm6b-high	TRUE
Per1	5785.833416138567	1.8300374806457496	0.13213535416650662	13.849718663028517	1.2771130517275155e-43	1.2641178662888846e-41	Kdm6b-high vs Kdm6b-low	Higher in Kdm6b-high	TRUE
Bach1	2444.141629971479	2.411401797365872	0.1742714185859033	13.83704692905351	1.5233743134908115e-43	1.4947613698635057e-41	Kdm6b-high vs Kdm6b-low	Higher in Kdm6b-high	TRUE
Myof	1040.0350854562032	-3.564401359528651	0.2579905845518276	-13.816013346845997	2.0406227077071104e-43	1.985033330497158e-41	Kdm6b-high vs Kdm6b-low	Higher in Kdm6b-low	TRUE
C77080	288.75247303963573	-6.771562066356759	0.49062207693008153	-13.801992174359029	2.479057391530243e-43	2.390913128720279e-41	Kdm6b-high vs Kdm6b-low	Higher in Kdm6b-low	TRUE
Slc48a1	427.55210465525363	-2.7947375558310052	0.20254737277597665	-13.797945228951782	2.6222071307793553e-43	2.50754112404358e-41	Kdm6b-high vs Kdm6b-low	Higher in Kdm6b-low	TRUE
Arid5a	173.0182357047355	3.051641257349707	0.22132007853346025	13.788361533083158	2.9948479509704744e-43	2.8398205276261204e-41	Kdm6b-high vs Kdm6b-low	Higher in Kdm6b-high	TRUE
Iffo2	428.82450399800473	1.7835490215701226	0.12980530311765492	13.740186099742951	5.832567784352393e-43	5.4845579065527e-41	Kdm6b-high vs Kdm6b-low	Higher in Kdm6b-high	TRUE
Paf1	461.5143788916758	1.6011177234812992	0.11681902807824045	13.705966825960394	9.351332164175982e-43	8.720696871120809e-41	Kdm6b-high vs Kdm6b-low	Higher in Kdm6b-high	TRUE
Rnf2	368.3604146862976	1.6386952112212352	0.12050941589132264	13.598067828152427	4.1115235025467346e-42	3.80282222973257e-40	Kdm6b-high vs Kdm6b-low	Higher in Kdm6b-high	TRUE
Dusp8	219.66668295950953	3.0105208185280175	0.22173352398464152	13.57720187920949	5.467557510356434e-42	5.015928369663577e-40	Kdm6b-high vs Kdm6b-low	Higher in Kdm6b-high	TRUE
Kras	1123.728564102764	2.0011199243120124	0.14744770090224546	13.571726870388506	5.891740013680837e-42	5.361483412449562e-40	Kdm6b-high vs Kdm6b-low	Higher in Kdm6b-high	TRUE
Tnip3	169.5776824918708	4.20841421085326	0.31031976929868604	13.561540795045566	6.769891088154736e-42	6.111316083099044e-40	Kdm6b-high vs Kdm6b-low	Higher in Kdm6b-high	TRUE
Tmem86a	515.2805932870439	-1.0520851942419422	0.07760208346623466	-13.55743489412515	7.159631489830689e-42	6.411847756448373e-40	Kdm6b-high vs Kdm6b-low	Higher in Kdm6b-low	TRUE
Lyz2	4480.994655406659	-3.769414278022463	0.2781553930561541	-13.551469330172191	7.76598978049408e-42	6.900112494731906e-40	Kdm6b-high vs Kdm6b-low	Higher in Kdm6b-low	TRUE
Fam83g	87.54348155840586	4.978199467596347	0.36773096181395964	13.537613050148574	9.37871749748504e-42	8.267925643876655e-40	Kdm6b-high vs Kdm6b-low	Higher in Kdm6b-high	TRUE
Nfat5	499.0052082569088	1.5711460547133116	0.11613773918022283	13.528298947469636	1.0645862325815031e-41	9.31224112282921e-40	Kdm6b-high vs Kdm6b-low	Higher in Kdm6b-high	TRUE
Mafk	711.3773328285711	1.9340766853691946	0.1432501025285716	13.50139826240919	1.5343611857566945e-41	1.3318255092368108e-39	Kdm6b-high vs Kdm6b-low	Higher in Kdm6b-high	TRUE
Cd209a	237.2596321263935	5.4157837388002585	0.40177151748135914	13.47976026959535	2.0577434285421845e-41	1.7724867822648864e-39	Kdm6b-high vs Kdm6b-low	Higher in Kdm6b-high	TRUE
Cflar	426.2661231912199	1.1677825505646824	0.08677059655148153	13.458275003005538	2.7526757440384325e-41	2.3531206890704295e-39	Kdm6b-high vs Kdm6b-low	Higher in Kdm6b-high	TRUE
Lmnb1	766.9211632630278	4.391056452786692	0.3263673764735192	13.454336337881411	2.9033431154695844e-41	2.4632574221773525e-39	Kdm6b-high vs Kdm6b-low	Higher in Kdm6b-high	TRUE
Cd200r4	103.59897109859591	-4.131822772141175	0.3078974945072835	-13.419475136532604	4.649947883227021e-41	3.915672530920426e-39	Kdm6b-high vs Kdm6b-low	Higher in Kdm6b-low	TRUE
Mex3c	775.7985674718982	2.311813500532099	0.17247542765636587	13.403726733399248	5.750166665176326e-41	4.8062874555444196e-39	Kdm6b-high vs Kdm6b-low	Higher in Kdm6b-high	TRUE
Zswim6	808.5327217312827	1.1770723884662835	0.08810190549025398	13.360351083399594	1.0307683445271316e-40	8.552345587973642e-39	Kdm6b-high vs Kdm6b-low	Higher in Kdm6b-high	TRUE
St8sia6	88.02762939912293	2.054495988100203	0.15398687975585298	13.342019731535684	1.3183853793597986e-40	1.0858876365471509e-38	Kdm6b-high vs Kdm6b-low	Higher in Kdm6b-high	TRUE
Hpse	875.6894634152909	-3.9584186459256583	0.296705901671913	-13.341219785721481	1.3326103214451074e-40	1.0896503526946805e-38	Kdm6b-high vs Kdm6b-low	Higher in Kdm6b-low	TRUE
Ccr7	118.44411873925854	8.217464197487393	0.6172308180330764	13.313437951257697	1.9337459914865064e-40	1.5698122135204128e-38	Kdm6b-high vs Kdm6b-low	Higher in Kdm6b-high	TRUE
