subcluster	subtype	kdm6b_rank	kdm6b_group	comparison	comparison_condition	sccomp_reference_condition	effect_41bbl_vs_condition	lower_41bbl_vs_condition	upper_41bbl_vs_condition	c_pH0	c_FDR	significant_direction	status_in_41bbl	c_rhat	c_ess_bulk	c_ess_tail
0	Early activated microglia	3	Kdm6b-high	41BB-L vs CD28-41BB	CD28-41BB	41BB-L	-0.09981066701379591	-0.376990845775	0.19602828202499997	0.495	0.21351785714285715	Not significantly different	Not significantly different	1.000000503752317	3248.864580951568	3588.8040011370863
0	Early activated microglia	3	Kdm6b-high	41BB-L vs CD8-41BB	CD8-41BB	41BB-L	0.19425074633592904	-0.11827400965000018	0.49455976282499997	0.27225	0.057704545454545446	Not significantly different	Not significantly different	0.99983985690168	3503.4054978422646	3891.901102968894
0	Early activated microglia	3	Kdm6b-high	41BB-L vs STOP	STOP	41BB-L	-0.19072034754250017	-0.4684509538	0.1020371186	0.263	0.08188636363636363	Not significantly different	Not significantly different	1.001265125940007	3132.522377586087	2794.649856363617
0	Early activated microglia	3	Kdm6b-high	41BB-L vs tumor	tumor	41BB-L	-0.3978669436655805	-0.6819737337750001	-0.119483539925	0.017750000000000044	0.003194444444444438	Enriched in tumor	Depleted in 41BB-L	1.0004428371773866	2804.9960656774715	3623.8117571554253
11	Antigen-presenting monocytes	4	Kdm6b-high	41BB-L vs B7H3	B7H3	41BB-L	-0.39007245343961	-0.7340676551250002	-0.0538687933475	0.04525000000000001	0.026138888888888885	Enriched in B7H3	Depleted in 41BB-L	1.0000328940744783	1123.6402927264292	1216.8151336239048
11	Antigen-presenting monocytes	4	Kdm6b-high	41BB-L vs CD28-41BB	CD28-41BB	41BB-L	0.2576720704520955	-0.10211343625000033	0.612733007	0.18174999999999997	0.05867857142857142	Not significantly different	Not significantly different	1.0016269626474026	969.3702954510184	1291.3472658178225
11	Antigen-presenting monocytes	4	Kdm6b-high	41BB-L vs CD8-41BB	CD8-41BB	41BB-L	-0.5107491680759075	-0.8267874486500001	-0.18794636362500003	0.0050000000000000044	0.0013749999999999873	Enriched in CD8-41BB	Depleted in 41BB-L	1.0003285091073	1936.715276365763	3087.179553758894
11	Antigen-presenting monocytes	4	Kdm6b-high	41BB-L vs STOP	STOP	41BB-L	-0.1601143105116427	-0.4942800998	0.1793061203	0.35950000000000004	0.11986538461538462	Not significantly different	Not significantly different	1.001159487262275	1259.5750338567636	1976.4144215971626
11	Antigen-presenting monocytes	4	Kdm6b-high	41BB-L vs tumor	tumor	41BB-L	0.2028930512595525	-0.15191058185000006	0.5569519225749999	0.27775000000000005	0.046607142857142854	Enriched in 41BB-L	Enriched in 41BB-L	1.0006223878017508	1730.000089036628	2970.378500713069
8	Perivascular macrophages	13	Kdm6b-low	41BB-L vs B7H3	B7H3	41BB-L	0.5052270001634237	0.14526653644999996	0.8601572852	0.014249999999999985	0.01293749999999999	Enriched in 41BB-L	Enriched in 41BB-L	0.9998518261007465	2713.3156181216677	3434.1139806456354
