program	sample	kdm6b_group	n_cells	median_ucell_score
IFN response	CD8-41BB_pos_T_D1	Kdm6b-high	460	0
IFN response	CD8-41BB_pos_T_D1	Kdm6b-low	568	0
IFN response	CD8-41BB_pos_T_D2	Kdm6b-high	118	0
IFN response	CD8-41BB_pos_T_D2	Kdm6b-low	127	0.06393989983305515
IFN response	STOP_pos_T_D1	Kdm6b-high	41	0.16060100166944913
IFN response	STOP_pos_T_D1	Kdm6b-low	99	0.1555091819699499
IFN response	STOP_pos_T_D2	Kdm6b-high	103	0
IFN response	STOP_pos_T_D2	Kdm6b-low	171	0.02287145242070121
IFN response	Tumor_only_D1	Kdm6b-high	44	0
IFN response	Tumor_only_D1	Kdm6b-low	48	0.15930717863105176
IFN response	Tumor_only_D2	Kdm6b-high	32	0.04924874791318862
IFN response	Tumor_only_D2	Kdm6b-low	28	0.1362687813021703
Chemokine responsiveness	41BB-L_pos_T_D1	Kdm6b-high	63	0
Chemokine responsiveness	41BB-L_pos_T_D1	Kdm6b-low	96	0.22468847352024923
Chemokine responsiveness	41BB-L_pos_T_D2	Kdm6b-high	124	0
Chemokine responsiveness	41BB-L_pos_T_D2	Kdm6b-low	156	0.18758344459279042
Chemokine responsiveness	B7H3_pos_T_D1	Kdm6b-high	128	0
Chemokine responsiveness	B7H3_pos_T_D1	Kdm6b-low	327	0
Chemokine responsiveness	B7H3_pos_T_D2	Kdm6b-high	156	0.181186025812194
Chemokine responsiveness	B7H3_pos_T_D2	Kdm6b-low	470	0.20666444147752555
Chemokine responsiveness	CD28-41BB_pos_T_D1	Kdm6b-high	65	0.22975077881619943
Chemokine responsiveness	CD28-41BB_pos_T_D1	Kdm6b-low	42	0.10797730307076098
Chemokine responsiveness	CD28-41BB_pos_T_D2	Kdm6b-high	78	0.17222963951935916
Chemokine responsiveness	CD28-41BB_pos_T_D2	Kdm6b-low	145	0.24833110814419224
Chemokine responsiveness	CD8-41BB_pos_T_D1	Kdm6b-high	460	0.29795282599020917
Chemokine responsiveness	CD8-41BB_pos_T_D1	Kdm6b-low	568	0.2302514463729417
Chemokine responsiveness	CD8-41BB_pos_T_D2	Kdm6b-high	118	0.24443702714730747
Chemokine responsiveness	CD8-41BB_pos_T_D2	Kdm6b-low	127	0.28860703159768575
Chemokine responsiveness	STOP_pos_T_D1	Kdm6b-high	41	0
Chemokine responsiveness	STOP_pos_T_D1	Kdm6b-low	99	0.23242100578549174
Chemokine responsiveness	STOP_pos_T_D2	Kdm6b-high	103	0.2091677792612372
Chemokine responsiveness	STOP_pos_T_D2	Kdm6b-low	171	0.2136181575433912
Chemokine responsiveness	Tumor_only_D1	Kdm6b-high	44	0.2103916332888296
Chemokine responsiveness	Tumor_only_D1	Kdm6b-low	48	0
Chemokine responsiveness	Tumor_only_D2	Kdm6b-high	32	0.11710057854917666
Chemokine responsiveness	Tumor_only_D2	Kdm6b-low	28	0.213006230529595
