gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	comparison	direction	significant_fdr
Cd5	82.53763201458634	-2.914373197701804	0.23408939975291976	-12.44982985465344	1.401436032545975e-35	1.7762200686782704e-33	Kdm6b-high vs Kdm6b-low	Higher in Kdm6b-low	TRUE
Gna13	348.09891529966364	1.0180043637820133	0.08270353670964159	12.309078961835187	8.094159725115336e-35	1.0114279588904683e-32	Kdm6b-high vs Kdm6b-low	Higher in Kdm6b-high	TRUE
Cd8a	89.00127317938006	-3.1841428973448727	0.2596309667629763	-12.264110622257773	1.411535970234364e-34	1.7393259899887885e-32	Kdm6b-high vs Kdm6b-low	Higher in Kdm6b-low	TRUE
Thy1	503.73283720429885	-1.6411406507749844	0.13391619784308784	-12.254982423395415	1.5798359551338608e-34	1.9200417251983031e-32	Kdm6b-high vs Kdm6b-low	Higher in Kdm6b-low	TRUE
Trac	405.1364554546029	-1.9940009472621083	0.1636705787753442	-12.183013967336752	3.828668027671282e-34	4.590262532635083e-32	Kdm6b-high vs Kdm6b-low	Higher in Kdm6b-low	TRUE
Qrfp	10.00707409296106	3.3268742631822286	0.27822948832963434	11.957302883872218	5.946200963263835e-33	7.033959326143566e-31	Kdm6b-high vs Kdm6b-low	Higher in Kdm6b-high	TRUE
Cnnm2	34.672680891731	3.0983825602073147	0.25961674730536966	11.934447959795508	7.827646458722502e-33	9.13774728707711e-31	Kdm6b-high vs Kdm6b-low	Higher in Kdm6b-high	TRUE
Dnajb1	161.993665992908	-2.7278994313296128	0.22877688670449164	-11.923841917008023	8.891181254235186e-33	1.0244488323061634e-30	Kdm6b-high vs Kdm6b-low	Higher in Kdm6b-low	TRUE
Fam78a	47.8283686690114	-1.8141681452001446	0.1526645361457774	-11.883363294457716	1.4443659127792645e-32	1.6428736382279017e-30	Kdm6b-high vs Kdm6b-low	Higher in Kdm6b-low	TRUE
Arhgdib	382.28163953833484	-0.8444556544310501	0.07112358444240298	-11.873075029210653	1.633509816326329e-32	1.834493555752809e-30	Kdm6b-high vs Kdm6b-low	Higher in Kdm6b-low	TRUE
P2ry10	66.37362475816508	1.5159981166677743	0.12773980998477724	11.867859493829181	1.7385912315167821e-32	1.9280976757521114e-30	Kdm6b-high vs Kdm6b-low	Higher in Kdm6b-high	TRUE
Cables1	29.657366283770752	3.347775783455387	0.28251053371598484	11.850091886559504	2.1495498021963793e-32	2.3544204747020093e-30	Kdm6b-high vs Kdm6b-low	Higher in Kdm6b-high	TRUE
Itpkb	179.65128726441898	0.9063591927179714	0.07668800577738048	11.818786830225628	3.121597767329526e-32	3.3774165111887254e-30	Kdm6b-high vs Kdm6b-low	Higher in Kdm6b-high	TRUE
Ubash3a	35.998559543805555	-1.9695063596625815	0.1668685641344416	-11.802740497460038	3.7780357189761627e-32	4.03840155406705e-30	Kdm6b-high vs Kdm6b-low	Higher in Kdm6b-low	TRUE
Cd7	122.78016176767359	2.700787358963153	0.22943782800616944	11.771325515208986	5.485574444599116e-32	5.7938114848194475e-30	Kdm6b-high vs Kdm6b-low	Higher in Kdm6b-high	TRUE
Hsp90aa1	235.75774156655527	-2.0289763060934507	0.1728112717528091	-11.740995164920248	7.85565915100237e-32	8.199459763258002e-30	Kdm6b-high vs Kdm6b-low	Higher in Kdm6b-low	TRUE
Nr4a2	161.3645852869977	1.575370276127403	0.13436719411273812	11.724366848098503	9.561324886713252e-32	9.863729580804649e-30	Kdm6b-high vs Kdm6b-low	Higher in Kdm6b-high	TRUE
Il18rap	78.05443385340307	1.7179836204579255	0.14657013326982066	11.721239396673624	9.920981286007674e-32	1.0117120226374723e-29	Kdm6b-high vs Kdm6b-low	Higher in Kdm6b-high	TRUE
Adam19	20.424677681121917	-2.408711905223281	0.20583096060566644	-11.70237897221848	1.2392968283052086e-31	1.2494365296277057e-29	Kdm6b-high vs Kdm6b-low	Higher in Kdm6b-low	TRUE
