gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	comparison	direction	significant_fdr	heatmap_direction
Tex2	86.99058855936512	1.8565725954234031	0.12005255501698636	15.46466541391572	6.008464209605678e-54	2.5384330698867418e-51	Kdm6b-high vs Kdm6b-low	Higher in Kdm6b-high	TRUE	Higher in Kdm6b-high
Ubald2	115.40073640752638	1.2243961386667102	0.07939854800908162	15.420888282826828	1.1846365968466939e-53	4.777316312374485e-51	Kdm6b-high vs Kdm6b-low	Higher in Kdm6b-high	TRUE	Higher in Kdm6b-high
Neurl3	102.0010656226339	2.0753019264187014	0.1348477306842572	15.389965525470888	1.9113408873356751e-53	7.372789718453092e-51	Kdm6b-high vs Kdm6b-low	Higher in Kdm6b-high	TRUE	Higher in Kdm6b-high
Usp12	31.027037427841673	2.2911789757919796	0.14972370540057453	15.302713552687614	7.333417781300212e-53	2.710920106487312e-50	Kdm6b-high vs Kdm6b-low	Higher in Kdm6b-high	TRUE	Higher in Kdm6b-high
Hhex	35.50106121959571	3.7531983518454064	0.24616893046257077	15.24643400283233	1.7387323696213975e-52	6.170413433312415e-50	Kdm6b-high vs Kdm6b-low	Higher in Kdm6b-high	TRUE	Higher in Kdm6b-high
Emb	202.61983472497406	2.035424370272952	0.1345515515057315	15.127468598429719	1.0672230232907554e-51	3.641693331782916e-49	Kdm6b-high vs Kdm6b-low	Higher in Kdm6b-high	TRUE	Higher in Kdm6b-high
Serpinb9	141.33016346236744	2.9128483753926386	0.1939745465583071	15.01665258187399	5.712031723468234e-51	1.876931312985562e-48	Kdm6b-high vs Kdm6b-low	Higher in Kdm6b-high	TRUE	Higher in Kdm6b-high
Ly6a	116.03775979192444	-2.5878967068403824	0.15952994742657542	-16.222011908024207	3.5245764161157435e-59	2.405387843367606e-56	Kdm6b-high vs Kdm6b-low	Higher in Kdm6b-low	TRUE	Higher in Kdm6b-low
Coro1a	458.42865101920773	-1.0938766845440537	0.06761687634625825	-16.17756902792192	7.260498668157871e-59	4.601081727421188e-56	Kdm6b-high vs Kdm6b-low	Higher in Kdm6b-low	TRUE	Higher in Kdm6b-low
Cd8b1	56.900030024067505	-4.075591679968225	0.2752476973053352	-14.806996461253325	1.3200849771556023e-49	3.659935599163907e-47	Kdm6b-high vs Kdm6b-low	Higher in Kdm6b-low	TRUE	Higher in Kdm6b-low
Top2a	58.098208101339594	-4.7657313952627325	0.3344258733020397	-14.250486507539204	4.4516907555410544e-46	1.0127025739271854e-43	Kdm6b-high vs Kdm6b-low	Higher in Kdm6b-low	TRUE	Higher in Kdm6b-low
Cd3e	149.8698169109488	-1.9761330226143883	0.14717016269022046	-13.427538479888515	4.17044801778155e-41	7.400042962751582e-39	Kdm6b-high vs Kdm6b-low	Higher in Kdm6b-low	TRUE	Higher in Kdm6b-low
Plcg1	43.154033372437766	-1.8487665660734625	0.13910874217406585	-13.29008182505247	2.6428904659165394e-40	4.4240989082285917e-38	Kdm6b-high vs Kdm6b-low	Higher in Kdm6b-low	TRUE	Higher in Kdm6b-low
Ncapd2	42.0472923654483	-3.560079710907787	0.27025965422315507	-13.172812350186044	1.2582192998820523e-39	1.9933788622417083e-37	Kdm6b-high vs Kdm6b-low	Higher in Kdm6b-low	TRUE	Higher in Kdm6b-low
Cd5	82.53763201458634	-2.914373197701804	0.23408939975291976	-12.44982985465344	1.401436032545975e-35	1.7762200686782704e-33	Kdm6b-high vs Kdm6b-low	Higher in Kdm6b-low	TRUE	Higher in Kdm6b-low
Cd8a	89.00127317938006	-3.1841428973448727	0.2596309667629763	-12.264110622257773	1.411535970234364e-34	1.7393259899887885e-32	Kdm6b-high vs Kdm6b-low	Higher in Kdm6b-low	TRUE	Higher in Kdm6b-low
Thy1	503.73283720429885	-1.6411406507749844	0.13391619784308784	-12.254982423395415	1.5798359551338608e-34	1.9200417251983031e-32	Kdm6b-high vs Kdm6b-low	Higher in Kdm6b-low	TRUE	Higher in Kdm6b-low
Trac	405.1364554546029	-1.9940009472621083	0.1636705787753442	-12.183013967336752	3.828668027671282e-34	4.590262532635083e-32	Kdm6b-high vs Kdm6b-low	Higher in Kdm6b-low	TRUE	Higher in Kdm6b-low
Dnajb1	161.993665992908	-2.7278994313296128	0.22877688670449164	-11.923841917008023	8.891181254235186e-33	1.0244488323061634e-30	Kdm6b-high vs Kdm6b-low	Higher in Kdm6b-low	TRUE	Higher in Kdm6b-low
Fam78a	47.8283686690114	-1.8141681452001446	0.1526645361457774	-11.883363294457716	1.4443659127792645e-32	1.6428736382279017e-30	Kdm6b-high vs Kdm6b-low	Higher in Kdm6b-low	TRUE	Higher in Kdm6b-low
Arhgdib	382.28163953833484	-0.8444556544310501	0.07112358444240298	-11.873075029210653	1.633509816326329e-32	1.834493555752809e-30	Kdm6b-high vs Kdm6b-low	Higher in Kdm6b-low	TRUE	Higher in Kdm6b-low
Ubash3a	35.998559543805555	-1.9695063596625815	0.1668685641344416	-11.802740497460038	3.7780357189761627e-32	4.03840155406705e-30	Kdm6b-high vs Kdm6b-low	Higher in Kdm6b-low	TRUE	Higher in Kdm6b-low
Hsp90aa1	235.75774156655527	-2.0289763060934507	0.1728112717528091	-11.740995164920248	7.85565915100237e-32	8.199459763258002e-30	Kdm6b-high vs Kdm6b-low	Higher in Kdm6b-low	TRUE	Higher in Kdm6b-low
Adam19	20.424677681121917	-2.408711905223281	0.20583096060566644	-11.70237897221848	1.2392968283052086e-31	1.2494365296277057e-29	Kdm6b-high vs Kdm6b-low	Higher in Kdm6b-low	TRUE	Higher in Kdm6b-low
H1f5	108.49746961256156	-4.892198221180486	0.418741625903382	-11.683095060411508	1.5552740811084e-31	1.5400054604415295e-29	Kdm6b-high vs Kdm6b-low	Higher in Kdm6b-low	TRUE	Higher in Kdm6b-low
Psmb8	151.41769589617797	-0.9897973833426352	0.08472331200841632	-11.682704085556876	1.5624459347272835e-31	1.5400054604415295e-29	Kdm6b-high vs Kdm6b-low	Higher in Kdm6b-low	TRUE	Higher in Kdm6b-low
Tmpo	29.26554575322809	-2.3273917262751684	0.20067506626501636	-11.597812172647092	4.227477113918253e-31	4.0329222531916925e-29	Kdm6b-high vs Kdm6b-low	Higher in Kdm6b-low	TRUE	Higher in Kdm6b-low
H2ac8	106.00555665859916	-4.6932158819155765	0.40805554915334685	-11.501414186507903	1.2977156468318903e-30	1.2119298124939507e-28	Kdm6b-high vs Kdm6b-low	Higher in Kdm6b-low	TRUE	Higher in Kdm6b-low
Ms4a6b	95.38749252340234	-1.8263377992362926	0.1623271019273334	-11.25097274301036	2.2905187328091324e-29	2.0736206323961857e-27	Kdm6b-high vs Kdm6b-low	Higher in Kdm6b-low	TRUE	Higher in Kdm6b-low
Pclaf	27.117398488756557	-4.681193535384947	0.41662172041586765	-11.236076531756979	2.7116815075185215e-29	2.430104882293366e-27	Kdm6b-high vs Kdm6b-low	Higher in Kdm6b-low	TRUE	Higher in Kdm6b-low
Hspa1b	996.4197880607168	-3.65711288566928	0.3303101676774238	-11.071753895389511	1.7200085625886368e-28	1.453325330217751e-26	Kdm6b-high vs Kdm6b-low	Higher in Kdm6b-low	TRUE	Higher in Kdm6b-low
H3c1	85.82570691945605	-2.004216405158075	0.18208551309851145	-11.007006384268246	3.5355691310863286e-28	2.8777586542199913e-26	Kdm6b-high vs Kdm6b-low	Higher in Kdm6b-low	TRUE	Higher in Kdm6b-low
