"gene","lineage","rho","p_val","p_adj","abs_rho","detected_frac","n_cells"
"Nav2","slingPseudotime_7",-0.0476308800945947,0.0109726825227968,0.0226916057800987,0.0476308800945947,0.0210452472816556,2851
"Dhx40","slingPseudotime_7",-0.0476248947567277,0.0109827371975678,0.0226916057800987,0.0476248947567277,0.231497720098211,2851
"Hspd1","slingPseudotime_7",-0.0475241322654986,0.0111532392469544,0.0230058565324968,0.0475241322654986,0.233602244826377,2851
"Lpcat1","slingPseudotime_7",-0.0474743720546837,0.0112383029645843,0.0231431280160303,0.0474743720546837,0.061381971238162,2851
"Appl2","slingPseudotime_7",-0.0472216613248968,0.0116792544339658,0.0240116250698311,0.0472216613248968,0.0557699052963872,2851
"Ikzf4","slingPseudotime_7",-0.0468044408989654,0.0124408889203969,0.0255354862898131,0.0468044408989654,0.0206944931602946,2851
"Pgam1","slingPseudotime_7",0.0466509486513955,0.0127319603882365,0.0260900827627798,0.0466509486513955,0.103823219922834,2851
"Ramp3","slingPseudotime_7",0.0464816074804581,0.0130600611530703,0.0267186193802583,0.0464816074804581,0.182041388986321,2851
"Nsdhl","slingPseudotime_7",0.0463907860520715,0.0132390899406402,0.0270406248787586,0.0463907860520715,0.0392844615924237,2851
"Ezh2","slingPseudotime_7",0.0462462337886353,0.0135285081073462,0.0275837949229086,0.0462462337886353,0.0438442651701157,2851
"Nfkbiz","slingPseudotime_7",-0.0462360237252736,0.0135491600661327,0.0275837949229086,0.0462360237252736,0.297790249035426,2851
"Arhgap31","slingPseudotime_7",-0.0461365632081669,0.0137518004993078,0.0279508140229834,0.0461365632081669,0.0694493160294633,2851
"Fadd","slingPseudotime_7",0.046088084518941,0.0138515369811203,0.0281078266662344,0.046088084518941,0.0610312171168011,2851
"Ebna1bp2","slingPseudotime_7",0.0458336455546134,0.0143855385265617,0.0291441218123211,0.0458336455546134,0.0971588916169765,2851
"Cibar1","slingPseudotime_7",0.04572699468567,0.01461471541432,0.02956050852411,0.04572699468567,0.0536653805682217,2851
"Hid1","slingPseudotime_7",0.0455169051166177,0.0150755944081808,0.0304434458969726,0.0455169051166177,0.0687478077867415,2851
"Tmcc3","slingPseudotime_7",0.0453483163879946,0.0154546363103168,0.0311585409482194,0.0453483163879946,0.0203437390389337,2851
"Ddx1","slingPseudotime_7",0.0452703499578686,0.0156327472616008,0.0314668825716602,0.0452703499578686,0.0908453174324798,2851
"Rtcb","slingPseudotime_7",0.0447329068550275,0.0169103621083669,0.0339838466808016,0.0447329068550275,0.168011224131884,2851
"Slfn5","slingPseudotime_7",-0.0446048420651343,0.0172279863794771,0.0345665858336217,0.0446048420651343,0.0445457734128376,2851
"Ulbp1","slingPseudotime_7",0.0445591552225852,0.0173425573753944,0.0347406998705818,0.0445591552225852,0.0217467555243774,2851
"Mycbp","slingPseudotime_7",0.0443418750739461,0.0178966288620454,0.0357932577240908,0.0443418750739461,0.0455980357769204,2851
"Stat5a","slingPseudotime_7",0.0441525039274192,0.018392110985406,0.0367254612328395,0.0441525039274192,0.0789196773062083,2851
"Egr2","slingPseudotime_7",-0.0441264130524757,0.0184613088491779,0.0368048422033052,0.0441264130524757,0.0280603297088741,2851
"Dpy30","slingPseudotime_7",0.0439740460068996,0.0188699806231349,0.0375596748071952,0.0439740460068996,0.112241318835496,2851
"Rap2a","slingPseudotime_7",0.0439628942263508,0.018900199614347,0.0375600151318502,0.0439628942263508,0.0259558049807085,2851
"Scpep1","slingPseudotime_7",0.043924150705048,0.0190055154450114,0.0377093560416892,0.043924150705048,0.0308663626797615,2851
"Cdt1","slingPseudotime_7",0.0438579852292167,0.0191865579317713,0.0379562228584329,0.0438579852292167,0.152578042792003,2851
"Dut","slingPseudotime_7",0.043845881018723,0.0192198400906493,0.0379562228584329,0.043845881018723,0.0213960014030165,2851
"Pou2f2","slingPseudotime_7",-0.0438454481498336,0.0192210312555104,0.0379562228584329,0.0438454481498336,0.0287618379515959,2851
"Abhd17c","slingPseudotime_7",0.0436217134836949,0.0198453990620132,0.0391273640812562,0.0436217134836949,0.0533146264468608,2851
"Trbv1","slingPseudotime_7",0.0436022482409242,0.0199005476512654,0.0391743064001287,0.0436022482409242,0.0441950192914767,2851
"Ccl4","slingPseudotime_7",0.0434903492998542,0.0202201788704667,0.039740917591326,0.0434903492998542,0.052262364082778,2851
"Ly6g5b","slingPseudotime_7",0.0434716048347178,0.0202741565977685,0.0397844517224656,0.0434716048347178,0.023500526131182,2851
"Slc16a3","slingPseudotime_7",0.0433305494982673,0.0206843939247295,0.0405258501660061,0.0433305494982673,0.0312171168011224,2851
"Spry1","slingPseudotime_7",-0.0433036175170601,0.0207635384858851,0.0406172505592432,0.0433036175170601,0.0564714135391091,2851
"Nudt9","slingPseudotime_7",0.0431137545751274,0.0213290091839391,0.041658221062381,0.0431137545751274,0.0585759382672746,2851
"Golm1","slingPseudotime_7",0.0430464433427651,0.0215326771435474,0.0419904000459193,0.0430464433427651,0.0648895124517713,2851
"Cd72","slingPseudotime_7",0.0429288289966473,0.0218926141163703,0.0426258063013441,0.0429288289966473,0.0413889863205893,2851
"Grb7","slingPseudotime_7",0.0429033608827319,0.0219712401596245,0.0427123642294412,0.0429033608827319,0.0259558049807085,2851
"Pdia4","slingPseudotime_7",0.0426999179294137,0.0226081787818139,0.0438823345920301,0.0426999179294137,0.158190108733778,2851
"Gcnt1","slingPseudotime_7",0.0426562500299735,0.0227469661302952,0.0440832676943705,0.0426562500299735,0.0259558049807085,2851
"Adrb2","slingPseudotime_7",-0.0425470993049483,0.023097114498205,0.0446501185358207,0.0425470993049483,0.162048404068748,2851
"Ndufc2","slingPseudotime_7",0.0425428310362177,0.0231109013541408,0.0446501185358207,0.0425428310362177,0.128376008418099,2851
"Sfxn1","slingPseudotime_7",0.042420282405681,0.0235098015499212,0.0453506974342615,0.042420282405681,0.0964573833742546,2851
"Rabgef1","slingPseudotime_7",0.0423876689026029,0.0236169606063485,0.0454872122618423,0.0423876689026029,0.0441950192914767,2851
"Isg15","slingPseudotime_7",0.0423304681211276,0.0238059299360656,0.0457806344924339,0.0423304681211276,0.149421255699754,2851
"Rcc1","slingPseudotime_7",0.0423140225616429,0.0238605017748433,0.0458150955738158,0.0423140225616429,0.03788144510698,2851
"Arl14ep","slingPseudotime_7",0.0422882214263964,0.0239463370686612,0.0459093885518812,0.0422882214263964,0.0455980357769204,2851
"Abcc5","slingPseudotime_7",-0.0422470939276334,0.0240837135254769,0.0460363435143224,0.0422470939276334,0.061381971238162,2851
"Cflar","slingPseudotime_7",-0.0422463469496383,0.0240862149266935,0.0460363435143224,0.0422463469496383,0.0441950192914767,2851
