"analysis","seurat_clusters","n","lineage","median_pseudotime","mean_pseudotime","functional_state_label","singler_immgen_label","singler_mousernaseq_label","top_previous_tcell_subtype","seurat_cluster_top_previous_tcell_subtype"
"CD8-like_CD28-41BB","0",38,"slingPseudotime_4",13.109200791973,13.0199422382031,"Stress-response CD8 T cells","T cells (T.8MEM.OT1.D45.LISOVA)","T cells","Activated effector CD8 T cells (stress)","0:Activated effector CD8 T cells (stress)"
"CD8-like_CD28-41BB","2",7,"slingPseudotime_4",18.6885911933916,16.4564109058406,"Cytotoxic CD8 T cells","T cells (T.8MEM.OT1.D45.LISOVA)","T cells","Quiescent T cells","2:Quiescent T cells"
"CD8-like_CD28-41BB","3",25,"slingPseudotime_4",22.3776192495339,25.443236602434,"Cytotoxic CD8 T cells","T cells (T.8MEM.OT1.D45.LISOVA)","T cells","Terminally differentiated cytotoxic T cells","3:Terminally differentiated cytotoxic T cells"
"CD8-like_CD28-41BB","4",7,"slingPseudotime_4",15.7807630642239,14.3771933953683,"Cytotoxic CD8 T cells","T cells (T.8MEM.OT1.D45.LISOVA)","T cells","Quiescent T cells","4:Quiescent T cells"
"CD8-like_CD28-41BB","6",19,"slingPseudotime_4",4.98978923246823,5.12778627918609,"Naive / memory CD8 T cells","T cells (T.CD8.1H)","T cells","Naïve / central-memory T cells","6:Naïve / central-memory T cells"
"CD8-like_CD8-41BB","0",145,"slingPseudotime_1",14.4231760668034,14.4079658938074,"Stress-response CD8 T cells","T cells (T.8MEM.OT1.D45.LISOVA)","T cells","Activated effector CD8 T cells (stress)","0:Activated effector CD8 T cells (stress)"
"CD8-like_CD8-41BB","2",3,"slingPseudotime_1",15.0958997475258,15.9735596066448,"Cytotoxic CD8 T cells","T cells (T.8MEM.OT1.D45.LISOVA)","T cells","Quiescent T cells","2:Quiescent T cells"
"CD8-like_CD8-41BB","3",231,"slingPseudotime_1",21.8601529769825,21.5050866535372,"Cytotoxic CD8 T cells","T cells (T.8MEM.OT1.D45.LISOVA)","T cells","Terminally differentiated cytotoxic T cells","3:Terminally differentiated cytotoxic T cells"
"CD8-like_CD8-41BB","4",164,"slingPseudotime_1",16.0212451150089,15.1143248465104,"Cytotoxic CD8 T cells","T cells (T.8MEM.OT1.D45.LISOVA)","T cells","Quiescent T cells","4:Quiescent T cells"
"CD8-like_CD8-41BB","5",48,"slingPseudotime_1",48.6118393214334,48.6164323586071,"Cytotoxic CD8 T cells","T cells (T.8EFF.OT1LISO)","T cells","Cycling / proliferating CAR T cells","5:Cycling / proliferating CAR T cells"
"CD8-like_CD8-41BB","6",65,"slingPseudotime_1",9.11167010816527,8.57980083853126,"Naive / memory CD8 T cells","T cells (T.CD8.1H)","T cells","Naïve / central-memory T cells","6:Naïve / central-memory T cells"
"CD8-like_CD8-41BB","0",145,"slingPseudotime_2",15.2811674614497,17.1601071880821,"Stress-response CD8 T cells","T cells (T.8MEM.OT1.D45.LISOVA)","T cells","Activated effector CD8 T cells (stress)","0:Activated effector CD8 T cells (stress)"
"CD8-like_CD8-41BB","2",43,"slingPseudotime_2",34.5507671703802,31.4527988409339,"Cytotoxic CD8 T cells","T cells (T.8MEM.OT1.D45.LISOVA)","T cells","Quiescent T cells","2:Quiescent T cells"
"CD8-like_CD8-41BB","3",231,"slingPseudotime_2",23.4371450529698,22.7919087397256,"Cytotoxic CD8 T cells","T cells (T.8MEM.OT1.D45.LISOVA)","T cells","Terminally differentiated cytotoxic T cells","3:Terminally differentiated cytotoxic T cells"
"CD8-like_CD8-41BB","4",164,"slingPseudotime_2",19.7430635027565,20.2418378697367,"Cytotoxic CD8 T cells","T cells (T.8MEM.OT1.D45.LISOVA)","T cells","Quiescent T cells","4:Quiescent T cells"
"CD8-like_CD8-41BB","6",65,"slingPseudotime_2",9.74344403000245,9.6203006831181,"Naive / memory CD8 T cells","T cells (T.CD8.1H)","T cells","Naïve / central-memory T cells","6:Naïve / central-memory T cells"
"CD8-like_STOP","0",82,"slingPseudotime_1",25.323722790962,25.037690919066,"Stress-response CD8 T cells","T cells (T.8MEM.OT1.D45.LISOVA)","T cells","Activated effector CD8 T cells (stress)","0:Activated effector CD8 T cells (stress)"
"CD8-like_STOP","1",1,"slingPseudotime_1",13.2116977847591,13.2116977847591,"Cytotoxic CD8 T cells","NKT (NKT.44+NK1.1+)","NK cells","Activated effector CD8 T cells (stress)","1:Activated effector CD8 T cells (stress)"
"CD8-like_STOP","2",67,"slingPseudotime_1",15.2237032666958,17.4866379625511,"Cytotoxic CD8 T cells","T cells (T.8MEM.OT1.D45.LISOVA)","T cells","Quiescent T cells","2:Quiescent T cells"
"CD8-like_STOP","3",1,"slingPseudotime_1",17.3377561058226,17.3377561058226,"Cytotoxic CD8 T cells","T cells (T.8MEM.OT1.D45.LISOVA)","T cells","Terminally differentiated cytotoxic T cells","3:Terminally differentiated cytotoxic T cells"
"CD8-like_STOP","4",25,"slingPseudotime_1",31.4670110182768,30.1532215251096,"Cytotoxic CD8 T cells","T cells (T.8MEM.OT1.D45.LISOVA)","T cells","Quiescent T cells","4:Quiescent T cells"
"CD8-like_STOP","6",15,"slingPseudotime_1",4.45211584113089,8.06401692115143,"Naive / memory CD8 T cells","T cells (T.CD8.1H)","T cells","Naïve / central-memory T cells","6:Naïve / central-memory T cells"
"CD8-like_STOP","0",82,"slingPseudotime_2",22.8655757070372,23.1427822608246,"Stress-response CD8 T cells","T cells (T.8MEM.OT1.D45.LISOVA)","T cells","Activated effector CD8 T cells (stress)","0:Activated effector CD8 T cells (stress)"
"CD8-like_STOP","1",1,"slingPseudotime_2",12.9551637162198,12.9551637162198,"Cytotoxic CD8 T cells","NKT (NKT.44+NK1.1+)","NK cells","Activated effector CD8 T cells (stress)","1:Activated effector CD8 T cells (stress)"
"CD8-like_STOP","2",67,"slingPseudotime_2",14.4425880727507,14.2864475381468,"Cytotoxic CD8 T cells","T cells (T.8MEM.OT1.D45.LISOVA)","T cells","Quiescent T cells","2:Quiescent T cells"
"CD8-like_STOP","3",1,"slingPseudotime_2",16.9809714074791,16.9809714074791,"Cytotoxic CD8 T cells","T cells (T.8MEM.OT1.D45.LISOVA)","T cells","Terminally differentiated cytotoxic T cells","3:Terminally differentiated cytotoxic T cells"
