comparison	cell_group	n_neighborhoods	median_logFC	mean_logFC	q25_logFC	q75_logFC	fraction_positive_logFC	n_nominal	fraction_nominal	median_logFC_nominal	min_p_value	min_spatial_fdr	median_cell_group_fraction	neg_log10_min_p
CD28-41BB vs STOP	Th2-like inflammatory T cells	10	0.180960002510351	0.035555316193735	-0.445301690936194	0.533592652081665	0.6	0	0	NA	0.470917556957361	0.999411758030983	0.967741935483871	0.327055117695817
CD8-41BB vs STOP	Antigen-presenting myeloid cells	42	-0.553953787223868	0.107454644771248	-1.66156644748616	2.53564679531681	0.428571428571429	9	0.214285714285714	-2.75537276527714	0.00144228332176523	0.254469261287813	1	2.84094941853963
CD8-41BB vs STOP	Terminally differentiated cytotoxic T cells	25	-0.140523905346043	0.817455548822032	-0.583772479883723	1.42163786650034	0.44	4	0.16	6.52637617621194	0.00178769159401944	0.254469261287813	0.981481481481482	2.74770740196528
CD8-41BB vs STOP	NK-like cytotoxic lymphocytes	39	0.737670390916459	1.00718726821909	0.519786744535193	1.48484026386753	0.948717948717949	5	0.128205128205128	1.9996196028982	0.00349331927819844	0.309108101979138	1	2.45676171942304
CD8-41BB vs STOP	Activated CD4 effector / helper-like T cells	46	-0.189401748746169	-0.157894359355319	-0.718865785525553	0.476118185193581	0.369565217391304	3	0.0652173913043478	-2.23315668349965	0.0105096413642601	0.383995355376608	0.921795431398225	1.97841210377959
CD8-41BB vs STOP	γδ / Th17-like T cells	7	2.78627779735051	2.24087942568798	1.14619700211477	3.08076573610678	1	3	0.428571428571429	3.01056483081425	0.0116079842150315	0.383995355376608	1	1.9352431911397
CD8-41BB vs STOP	Quiescent T cells	98	-0.491679509777144	-0.478990609766114	-0.895583379699408	-0.0424148453212123	0.224489795918367	4	0.0408163265306122	-2.40680712133317	0.0163640696263293	0.416610127125228	0.848752598752599	1.78610868132068
CD8-41BB vs STOP	γδ T cells	21	0.893610748800796	0.991837857615512	0.461448032569542	1.41341771475371	0.952380952380952	1	0.0476190476190476	1.81232082536332	0.0327724957899949	0.494746812752736	0.963636363636364	1.48449048365427
CD8-41BB vs STOP	Activated effector CD8 T cells (stress)	79	-0.59220530885173	-0.45591981102273	-1.04544619074108	0.0899147540510262	0.278481012658228	2	0.0253164556962025	-1.72148564145398	0.0366076966705817	0.518233714308742	0.94	1.43642759574905
CD8-41BB vs STOP	Treg	88	0.40928338813187	0.443876433925097	0.0489915486675544	0.795281027130796	0.772727272727273	0	0	NA	0.0702799165874006	0.627692739848886	0.991225369458128	1.15316876262428
CD8-41BB vs STOP	IFN-responsive T cells	13	-0.610823219822299	-0.739703952854152	-0.932398402710972	-0.353416678741773	0.0769230769230769	0	0	NA	0.0811387852944777	0.627692739848886	1	1.09077149828136
CD8-41BB vs STOP	Cycling / proliferating CAR T cells	60	0.382049345362607	0.53334518035247	0.0642568372914618	0.822343551700635	0.816666666666667	0	0	NA	0.091395806913772	0.627692739848886	0.98936170212766	1.03907372851106
CD8-41BB vs STOP	Naïve / central-memory T cells	28	0.0610554555442712	0.162146824108949	-0.174437598645425	0.393176974096814	0.642857142857143	0	0	NA	0.122665169199676	0.6979283646364	0.890053947268445	0.911278737776746
CD8-41BB vs STOP	Th2-like inflammatory T cells	10	-0.933949895309499	-0.872588342069724	-1.28689391487746	-0.634367329399296	0.1	0	0	NA	0.129086954630137	0.715133433210838	0.967741935483871	0.889117644785572
tumor vs STOP	Activated effector CD8 T cells (stress)	79	-0.955399703993924	-1.34612962557591	-1.70287916816851	-0.129467907870294	0.227848101265823	12	0.151898734177215	-5.67606611134293	0.000380562368833095	0.211417680699886	0.94	3.41957415828791
tumor vs STOP	Terminally differentiated cytotoxic T cells	25	-2.68423021819872	-2.37328726924875	-3.94111893433945	-0.900111909786216	0.12	10	0.4	-3.8729230423613	0.00153271562452917	0.211417680699886	0.981481481481482	2.81453841537017
tumor vs STOP	Activated CD4 effector / helper-like T cells	46	-1.38415937692096	-1.74020227056957	-3.17919583042263	0.343994049695171	0.326086956521739	12	0.260869565217391	-3.27052387380255	0.00181830209957181	0.211417680699886	0.921795431398225	2.74033395979537
tumor vs STOP	Treg	88	-0.23452943202269	-0.628616655242652	-1.40792386609627	0.651863920337909	0.397727272727273	7	0.0795454545454545	-5.81449385908556	0.00403479146226872	0.211417680699886	0.991225369458128	2.39417890682206
tumor vs STOP	Quiescent T cells	98	-0.574357712381444	-0.528330806567186	-1.34051685510506	0.255409333515309	0.326530612244898	8	0.0816326530612245	-2.6469967539635	0.00684093265624166	0.271071374260125	0.848752598752599	2.16488468485196
tumor vs STOP	Cycling / proliferating CAR T cells	60	-1.40026701298364	-1.75901844051035	-2.53947996699341	-0.810120150229311	0.1	4	0.0666666666666667	-5.81550464673045	0.0161193263119626	0.43987101969558	0.98936170212766	1.79265311297206
tumor vs STOP	Naïve / central-memory T cells	28	0.627318127497424	0.478060215628236	0.033176243311026	0.930746359195917	0.75	1	0.0357142857142857	3.36172124929534	0.0375297586122213	0.525479102982208	0.890053947268445	1.42562422891805
tumor vs STOP	NK-like cytotoxic lymphocytes	39	0.614401948423063	0.616667458446059	0.0712912865252966	1.18945245874571	0.769230769230769	2	0.0512820512820513	2.2858961841621	0.0447029301333456	0.555525029918521	1	1.34966400932809
tumor vs STOP	Antigen-presenting myeloid cells	42	0.351750154284094	-0.158758530924864	-0.940708610228287	0.820066034340192	0.571428571428571	0	0	NA	0.0545261972817125	0.55933241763953	1	1.26339478944239
tumor vs STOP	IFN-responsive T cells	13	0.210040897472552	0.0852376104737077	-0.156422464046215	0.515007916180822	0.692307692307692	0	0	NA	0.120739395953374	0.76459022058366	1	0.918151001207182
tumor vs STOP	γδ T cells	21	0.082405708291236	0.035232088638046	-0.442447789815788	0.458593346493004	0.523809523809524	0	0	NA	0.149668866000634	0.76459022058366	0.963636363636364	0.824868531857177
tumor vs STOP	γδ / Th17-like T cells	7	1.22061990835499	1.29118542816882	0.925486413800821	1.72583398503335	1	0	0	NA	0.190866195469462	0.76459022058366	1	0.719270983188807
tumor vs STOP	Th2-like inflammatory T cells	10	-0.0252991964791061	-0.0404564917963222	-0.222410365032453	0.119405053029405	0.5	0	0	NA	0.407871330358613	0.821384486126178	0.967741935483871	0.389476820558465
