"cluster","pathway","NES","pval","padj"
"CD4+ Helper T cells","GSE11057_CD4_EFF_MEM_VS_PBMC_UP",1.87054264855302,3.2460282447725e-05,0.00158767787574259
"CD4+ Helper T cells","GSE24142_EARLY_THYMIC_PROGENITOR_VS_DN3_THYMOCYTE_DN",1.86603745954276,2.21555598219293e-05,0.00121954048175375
"CD4+ Helper T cells","GSE13306_RA_VS_UNTREATED_MEM_CD4_TCELL_DN",1.86245969213477,0.00013963128418358,0.00497649914996732
"CD4+ Helper T cells","GSE40277_EOS_AND_LEF1_TRANSDUCED_VS_CTRL_CD4_TCELL_UP",1.85106788799156,3.12660307322475e-05,0.00155955546141313
"CD4+ Helper T cells","GSE22886_NAIVE_VS_MEMORY_TCELL_DN",1.84743897137928,1.29159589825377e-05,0.000792618161977905
"CD4+ Helper T cells","GSE3982_CENT_MEMORY_CD4_TCELL_VS_NKCELL_UP",1.84517199913657,0.000356477674226877,0.00975685302828701
"CD4+ Helper T cells","GSE37301_MULTIPOTENT_PROGENITOR_VS_LYMPHOID_PRIMED_MPP_DN",1.8429476949559,5.92055421745742e-05,0.00259561288436142
"CD4+ Helper T cells","GSE36476_YOUNG_VS_OLD_DONOR_MEMORY_CD4_TCELL_72H_TSST_ACT_DN",1.83521277624443,6.87151276630384e-05,0.00286062808775371
"CD4+ Helper T cells","GSE25088_WT_VS_STAT6_KO_MACROPHAGE_ROSIGLITAZONE_AND_IL4_STIM_DN",1.83111257938314,0.000320425545665772,0.00907078944701848
"CD4+ Helper T cells","GSE26030_UNSTIM_VS_RESTIM_TH17_DAY5_POST_POLARIZATION_UP",1.83004209324941,6.30441961030581e-05,0.00269242196115991
"CD4+ Helper T cells","GSE15330_LYMPHOID_MULTIPOTENT_VS_PRO_BCELL_UP",1.82886728608114,0.000309793023788476,0.00887118288929544
"CD4+ Helper T cells","GSE21063_CTRL_VS_ANTI_IGM_STIM_BCELL_3H_UP",1.82868152735425,0.000308360628824566,0.00887118288929544
"CD4+ Helper T cells","GSE19923_E2A_KO_VS_HEB_AND_E2A_KO_DP_THYMOCYTE_UP",1.82614334568692,4.17853863095147e-05,0.00199043080555131
"CD4+ Helper T cells","GSE20366_TREG_VS_TCONV_UP",1.82535451797166,0.000413050632202736,0.0104936042663198
"CD4+ Helper T cells","GSE19888_CTRL_VS_A3R_ACTIVATION_MAST_CELL_DN",1.8245771073901,0.000955314653644441,0.0176761429886413
"CD4+ Helper T cells","GSE7852_THYMUS_VS_FAT_TREG_DN",1.81882668313589,7.67679099709079e-05,0.00311371617298711
"CD4+ Helper T cells","GSE17974_IL4_AND_ANTI_IL12_VS_UNTREATED_1H_ACT_CD4_TCELL_UP",1.8104935157744,0.00106179369055719,0.0188411655135279
"CD4+ Helper T cells","GSE19941_LPS_VS_LPS_AND_IL10_STIM_IL10_KO_NFKBP50_KO_MACROPHAGE_DN",1.80365472089819,0.00036085835225117,0.00982248503874889
"CD4+ Helper T cells","GSE37301_CD4_TCELL_VS_RAG2_KO_NK_CELL_UP",1.79764712250688,0.000959277391114891,0.0176761429886413
"CD4+ Helper T cells","GSE37605_NOD_VS_C57BL6_IRES_GFP_TREG_UP",1.79639471020565,0.000429861934813783,0.0107011860556155
"CD4+ Helper T cells","GSE5589_WT_VS_IL10_KO_LPS_STIM_MACROPHAGE_180MIN_DN",1.79419635882731,0.00231847970011487,0.0320664314434196
"CD4+ Helper T cells","GSE30083_SP2_VS_SP4_THYMOCYTE_UP",1.79212371188646,0.00337515125461088,0.0414900727427849
"CD4+ Helper T cells","GSE29618_PRE_VS_DAY7_POST_TIV_FLU_VACCINE_BCELL_UP",1.78951885449429,0.00378110037706785,0.0448123714545314
"CD4+ Helper T cells","GSE45739_UNSTIM_VS_ACD3_ACD28_STIM_WT_CD4_TCELL_UP",1.78923691529328,0.000673530954053875,0.014339364210952
"CD4+ Helper T cells","GSE36527_CD62L_HIGH_CD69_NEG_VS_CD62L_LOW_CD69_POS_TREG_KLRG1_NEG_DN",1.78901843858528,0.000392874621567669,0.010297888228816
"CD4+ Helper T cells","GSE5679_CTRL_VS_PPARG_LIGAND_ROSIGLITAZONE_TREATED_DC_DN",1.78470068287756,0.000193046083501087,0.00621006686795057
"CD4+ Helper T cells","GSE7460_TCONV_VS_TREG_LN_DN",1.77954303006952,0.000162394675003871,0.00551029602718614
"CD4+ Helper T cells","GSE24492_LYVE_NEG_VS_POS_MACROPHAGE_DN",1.7795189518914,0.000916806137356084,0.0172040060775077
"CD4+ Helper T cells","GSE24142_EARLY_THYMIC_PROGENITOR_VS_DN2_THYMOCYTE_ADULT_DN",1.77938413126131,0.0001577418767155,0.00550319195245483
"CD4+ Helper T cells","GSE10239_KLRG1INT_VS_KLRG1HIGH_EFF_CD8_TCELL_UP",1.77845100049052,0.000435258287059922,0.0107813477704743
"CD4+ Helper T cells","GSE13229_IMM_VS_INTMATURE_NKCELL_UP",1.77747989720744,0.00114231888037216,0.0196306406962551
"CD4+ Helper T cells","GSE22886_CD8_VS_CD4_NAIVE_TCELL_DN",1.77541350266721,0.000711845403254232,0.0146327059241555
"CD4+ Helper T cells","GSE27786_CD8_TCELL_VS_NKTCELL_UP",1.77396412271471,0.000324469545494746,0.00908595742678863
"CD4+ Helper T cells","GSE13522_CTRL_VS_T_CRUZI_G_STRAIN_INF_SKIN_UP",1.76773927987965,0.000205850824586417,0.00653708323718659
"CD4+ Helper T cells","GSE40068_CXCR5POS_BCL6POS_TFH_VS_CXCR5NEG_BCL6NEG_CD4_TCELL_DN",1.76613896378194,0.000399574808912234,0.0103827578649845
"CD4+ Helper T cells","GSE30083_SP2_VS_SP3_THYMOCYTE_UP",1.76587952351284,0.000966942823964835,0.0176761429886413
"CD4+ Helper T cells","GSE11057_CD4_CENT_MEM_VS_PBMC_UP",1.76272847747078,0.000125558292174855,0.004641908801748
"CD4+ Helper T cells","GSE12003_4D_VS_8D_CULTURE_MIR223_KO_BM_PROGENITOR_DN",1.76210668643913,0.000379556752857032,0.0101697532418712
"CD4+ Helper T cells","GSE21927_SPLEEN_VS_C26GM_TUMOR_MONOCYTE_BALBC_UP",1.76119713710951,0.00464498978508191,0.0494975683216679
