"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Iqcf5",0.221762089169536,1.7470776253365,0,0,1
"Iqcf6",0.745533225603964,-2.59001622635009,0,0,1
"Iqcg",0.231686074361526,0.392996206309087,0,0,1
"Iqch",0.30164168188387,0.914511491018514,0,0,1
"Iqck",0.0658219251468236,-1.10397854804274,0,0.001,1
"Iqcm",0.550993261155713,2.51461016618199,0,0,1
"Iqcn",1.19183576216265e-05,0.0968553540436155,0.092,0.098,0.227104304480093
"Iqgap1",2.8331773561357e-56,-0.334990114258346,0.164,0.204,5.39861945211657e-52
"Iqgap2",9.00370065470143e-43,-0.415250427030742,0.133,0.171,1.71565515975336e-38
"Iqgap3",4.66058257234518e-08,0.227790965195381,0.015,0.02,0.000888074009160374
"Iqsec1",2.4028071218632e-70,-0.577915435316806,0.034,0.051,4.57854897071032e-66
"Iqsec2",4.71936902182045e-38,-0.210624710429421,0.035,0.057,8.99275767107887e-34
"Iqub",0.0345213655705302,-1.55072223674898,0,0,1
"Irag1",1.49426000002575e-05,0.263703265958347,0.001,0.001,0.284731243004906
"Irag2",1.18167415261336e-14,0.243740764812637,0.148,0.159,2.25168009780476e-10
"Irak1",2.25530705676748e-51,0.0356925661651191,0.278,0.337,4.29748759667044e-47
"Irak1bp1",0.0333236223353377,-0.309065279067986,0.001,0.002,1
"Irak2",7.25567326225507e-21,0.0425509523953886,0.463,0.528,1.3825685401227e-16
"Irak3",3.55943983018245e-36,-0.583213126747501,0.017,0.032,6.78251259641266e-32
"Irak4",2.38391147012473e-26,-0.00148954750505537,0.084,0.111,4.54254330632267e-22
"Ireb2",1.18989269617155e-39,-0.0429347952064014,0.03,0.046,2.26734053255489e-35
"Irf1",1.13590188238257e-18,0.101568360532464,0.081,0.095,2.16446103687999e-14
"Irf2",3.72020918955589e-43,0.0381315308872091,0.215,0.25,7.08885861069876e-39
"Irf2bp1",0.256411712867303,0.858575820398961,0.023,0.016,1
"Irf2bp2",1.07872877565725e-111,0.525208530995949,0.573,0.533,2.05551768201489e-107
"Irf2bpl",0.835422938397681,0.772799804965231,0.011,0.01,1
"Irf3",0.055506997021219,0.426195177089121,0.085,0.087,1
"Irf4",1.82332043494394e-18,-0.594750065276661,0.004,0.008,3.47433708878568e-14
"Irf5",2.66470127059364e-23,0.0418718137662868,0.564,0.634,5.07758827111618e-19
"Irf6",0.477473675058789,0.0874429831309591,0.001,0.001,1
"Irf7",4.69577305537081e-08,0.138178926515887,0.223,0.2,0.000894779555700908
"Irf8",1.9470315885235e-113,0.504788030615015,0.57,0.521,3.71006869193153e-109
"Irf9",7.91173405287757e-29,-0.135880599927463,0.052,0.069,1.50758092377582e-24
"Irgc1",0.0485565438840298,0.155141597647365,0.001,0.001,1
"Irgm1",3.50512776139601e-29,-0.161766127138993,0.213,0.235,6.67902094934009e-25
"Irgm2",1.85892931440364e-24,-0.541693322647389,0.016,0.029,3.54218980859613e-20
"Irgq",4.55373714884844e-16,0.35967590817786,0.011,0.009,8.67714613713069e-12
"Irs1",0.0375131639443285,-0.646391621070247,0,0,1
"Irs2",0.462938458936685,0.244580096875818,0.337,0.333,1
"Irs3",0.124730554214399,0.416495743379549,0,0.001,1
"Irs4",0.355276337654658,-2.90723227783143,0,0,1
"Irx1",0.0183059698628,-3.7965923174434,0,0,1
"Irx2",0.0465543544724336,-0.719979639234216,0,0,1
"Irx3",0.455795051189091,3.55935660547192,0,0,1
"Irx4",0.109333378580963,-0.902322572963254,0,0,1
"Irx5",0.21113468807229,1.84953070378075,0,0,1
"Irx6",0.232703211883382,-1.81477050642012,0,0,1
"Isca1",0.000217131712268526,0.185290022537486,0.003,0.004,1
"Isca2",7.80280240564882e-28,-0.038572685483693,0.043,0.06,1.48682399839638e-23
"Iscu",6.78715308471025e-13,-0.501979919578936,0.009,0.016,1.29329202029154e-08
"Isg15",3.46855856479875e-05,0.337948086314067,0.175,0.157,0.660933834522402
"Isg20",5.62065729443982e-18,-0.551439941248583,0.013,0.019,1.07101624745551e-13
"Isg20l2",6.282915625888e-55,-0.606449116308489,0.013,0.033,1.19720957251296e-50
"Isl1",0.35423593912062,1.2288887454328,0,0,1
"Isl2",0.906760317946188,-0.0294836931458455,0,0,1
"Islr",0.608457178965532,1.8117548153509,0,0,1
"Islr2",0.00309703996340077,1.80572712151902,0.001,0,1
"Ism1",0.818072868596489,-2.28006046073717,0,0,1
"Ism2",0.337093588170236,5.17746333619318,0,0,1
"Isoc1",1.29643775117573e-126,-0.866200786592035,0.032,0.079,2.47036213486535e-122
"Isoc2a",0.482547912327803,1.52663823684412,0,0,1
"Isoc2b",1.45381446045467e-15,-0.150182782409379,0.034,0.049,2.77024345439637e-11
"Ist1",0.000238343206594269,0.139966693820808,0.374,0.397,1
"Isx",0.296367354096807,-0.397245535494173,0,0,1
"Isy1",1.41623695165403e-50,-0.236838981610984,0.131,0.164,2.69863951137676e-46
"Isyna1",0.154121558477208,0.382222556798383,0.213,0.212,1
"Itch",0,-0.693393119771844,0.12,0.248,0
"Itfg1",2.52704386689753e-233,-0.69043104068338,0.056,0.135,4.81528208837324e-229
"Itfg2",1.52422809642723e-14,-0.0233014971366101,0.015,0.021,2.90441663774209e-10
"Itga1",0.000120587975974211,-0.0586108181521912,0,0.001,1
"Itga10",1.65591396651725e-05,-0.259158032101596,0.001,0.002,0.315534406319862
"Itga11",0.949530723926076,-2.21835374362864,0,0,1
"Itga2",0.778254246147385,0.0929156894294163,0,0,1
"Itga2b",0.145615436740713,1.69198654951977,0.001,0.001,1
"Itga3",6.6919659377826e-05,-0.122045429457977,0.002,0.003,1
"Itga4",0.00653897719623116,0.155878391414525,0.106,0.107,1
"Itga5",2.48771636036078e-21,-0.140540214283884,0.239,0.264,4.74034352466747e-17
"Itga6",5.79681477467348e-63,0.0933473287800983,0.112,0.162,1.10458305531403e-58
"Itga7",0.000557576280618745,-0.848389584347975,0,0.001,1
"Itga8",7.33815098965868e-07,-0.575851128614257,0.002,0.005,0.0139828467107946
"Itga9",1.77466978321478e-43,0.143814122488497,0.149,0.19,3.38163327191577e-39
"Itgad",0.217325264953083,-0.623751322651066,0.001,0.001,1
"Itgae",0.213682704106047,0.194235152019349,0.014,0.014,1
"Itgal",0.0157089793461155,0.223790356163654,0.104,0.1,1
"Itgam",0,-0.912302483681116,0.455,0.635,0
"Itgav",4.63095325161049e-63,-0.0385499870429373,0.276,0.339,8.82428142094379e-59
"Itgax",2.36205456041454e-21,-0.336026836619698,0.12,0.137,4.5008949648699e-17
"Itgb1",7.71337077984926e-83,-0.0320366837838462,0.138,0.196,1.46978280210028e-78
"Itgb1bp1",9.32758346039213e-79,-0.400505055846289,0.046,0.08,1.77737102837772e-74
"Itgb1bp2",0.74197252153093,-0.119628213652669,0,0,1
"Itgb2",1.24486647612946e-05,0.164767322379334,0.423,0.472,0.237209307026469
"Itgb2l",0.992770056251937,-2.67079643756133,0,0,1
"Itgb3",6.75465597702231e-05,0.470066684670379,0.043,0.047,1
"Itgb3bp",8.66648697771276e-29,-0.303715623638023,0.007,0.012,1.65139909360317e-24
"Itgb4",0.418167307755518,-1.64898906009953,0,0,1
"Itgb5",6.19973780237084e-05,0.121884495847614,0.593,0.598,1
"Itgb6",0.221794558918439,-0.415673687585461,0,0,1
"Itgb7",7.21121237111994e-20,-0.378106889058111,0.046,0.063,1.3740965173169e-15
"Itgb8",3.64370193595843e-05,-3.62975511527856,0,0.001,0.69430740389688
"Itgbl1",0.108549445855844,0.306658734521582,0,0,1
"Itih1",0.0112838168097526,-2.53469546633165,0,0.001,1
"Itih2",0.190185088131188,0.650283517268186,0,0,1
"Itih3",0.0756600715078122,1.07004496446697,0.001,0.001,1
"Itih4",0.663373230916451,1.28235669188251,0,0,1
"Itih5",0.0776851382028594,-2.81777486652383,0,0,1
"Itk",0.571683784990359,-0.286989663666066,0.001,0.001,1
"Itln1",0.157919997592189,-2.20415068098045,0,0,1
"Itm2a",0.00402593653033795,1.8117548153509,0,0,1
"Itm2b",0.00100532786671212,0.137671690697368,0.583,0.61,1
