"cluster","pathway","NES","pval","padj"
"B cells","GSE32901_TH1_VS_TH17_NEG_CD4_TCELL_DN",1.90284770925989,0.00048910363980393,0.0111174394777758
"B cells","GSE5503_MLN_DC_VS_PLN_DC_ACTIVATED_ALLOGENIC_TCELL_DN",1.90054399486523,8.4663230828397e-06,0.000464886751750984
"B cells","GSE37532_TREG_VS_TCONV_PPARG_KO_CD4_TCELL_FROM_VISCERAL_ADIPOSE_TISSUE_DN",1.89900670689435,3.37945608472596e-07,2.97332776315341e-05
"B cells","NAKAYA_PBMC_FLUARIX_FLUVIRIN_AGE_18_50YO_CORRELATED_WITH_HAI_28DY_RESPONSE_AT_7DY_POSITIVE",1.89121395346947,8.6742268143362e-06,0.000471010516018455
"B cells","GSE22886_NAIVE_VS_IGG_IGA_MEMORY_BCELL_UP",1.88954047315712,0.00012377184366216,0.00395341830050309
"B cells","GSE7764_NKCELL_VS_SPLENOCYTE_DN",1.88203334184435,2.4238180117273e-06,0.000155857876622517
"B cells","GSE21546_WT_VS_SAP1A_KO_AND_ELK1_KO_ANTI_CD3_STIM_DP_THYMOCYTES_DN",1.87939622395285,7.76915198299883e-05,0.00285472524367784
"B cells","GSE40274_CTRL_VS_FOXP3_AND_IRF4_TRANSDUCED_ACTIVATED_CD4_TCELL_DN",1.87525921642332,0.000240288613585583,0.0065971373853525
"B cells","GSE7852_LN_VS_THYMUS_TCONV_UP",1.86846695575815,2.4973709147601e-05,0.001196534476513
"B cells","GSE42021_TCONV_PLN_VS_CD24INT_TCONV_THYMUS_DN",1.8647802980018,8.76515541529614e-05,0.00303796556840796
"B cells","GSE22886_IGM_MEMORY_BCELL_VS_BM_PLASMA_CELL_UP",1.86207224778486,7.95763829656879e-06,0.000441920208583315
"B cells","GSE15330_LYMPHOID_MULTIPOTENT_VS_MEGAKARYOCYTE_ERYTHROID_PROGENITOR_IKAROS_KO_UP",1.86070227149414,0.000431901327283972,0.0102461251768775
"B cells","GSE22601_IMMATURE_CD4_SINGLE_POSITIVE_VS_CD8_SINGLE_POSITIVE_THYMOCYTE_UP",1.85877056685257,3.01295362562129e-06,0.000188773132928349
"B cells","GSE13547_CTRL_VS_ANTI_IGM_STIM_ZFX_KO_BCELL_12H_DN",1.85874723972771,0.000452107012152266,0.0104713126463892
"B cells","GSE9878_CTRL_VS_EBF_TRANSDUCED_PAX5_KO_PRO_BCELL_DN",1.85186320198215,0.000122775433565996,0.00394739173576987
"B cells","GSE40274_CTRL_VS_EOS_TRANSDUCED_ACTIVATED_CD4_TCELL_DN",1.85065248553827,5.54701607404077e-05,0.00216866140430698
"B cells","GSE25677_MPL_VS_R848_STIM_BCELL_DN",1.84853499187407,8.05744146447022e-07,6.14026578846521e-05
"B cells","GSE29614_DAY3_VS_DAY7_TIV_FLU_VACCINE_PBMC_DN",1.84641903389828,0.000145672212436558,0.00450569684922442
"B cells","GSE36095_WT_VS_HDAC9_KO_TREG_UP",1.84616004689065,1.7833199300877e-05,0.000911122424513809
"B cells","GSE23568_ID3_TRANSDUCED_VS_ID3_KO_CD8_TCELL_DN",1.83719919810184,2.00573976974318e-06,0.000132460138577499
"B cells","GSE28737_WT_VS_BCL6_KO_FOLLICULAR_BCELL_UP",1.83083717465613,0.000442643857206842,0.0103502417711475
"B cells","GSE35543_IN_VIVO_NTREG_VS_IN_VITRO_ITREG_DN",1.8273295351676,0.00046265015097436,0.0106649589047721
"B cells","GSE3337_4H_VS_16H_IFNG_IN_CD8POS_DC_DN",1.82541549814045,3.16317310611797e-05,0.00139265107834221
"B cells","GSE42021_TREG_PLN_VS_TREG_PRECURSORS_THYMUS_UP",1.82427400922489,0.00107132309626637,0.0204513905134911
"B cells","GSE3565_CTRL_VS_LPS_INJECTED_DUSP1_KO_SPLENOCYTES_DN",1.8225403537528,0.000116344337611348,0.00384172147234229
"B cells","GSE23502_BM_VS_COLON_TUMOR_MYELOID_DERIVED_SUPPRESSOR_CELL_DN",1.82179147944462,7.20362222502405e-06,0.000409350021089448
"B cells","GSE22886_CD4_TCELL_VS_BCELL_NAIVE_DN",1.82162482619428,0.000256346182526848,0.00699868041345645
"B cells","GSE22886_NAIVE_BCELL_VS_BLOOD_PLASMA_CELL_UP",1.81936137601521,8.00723085036882e-05,0.00290726952061274
"B cells","GSE7219_UNSTIM_VS_LPS_AND_ANTI_CD40_STIM_DC_UP",1.81393605560263,8.46303729458705e-05,0.00299701907671355
"B cells","GSE17974_CTRL_VS_ACT_IL4_AND_ANTI_IL12_24H_CD4_TCELL_UP",1.80513630947847,8.04889178091184e-05,0.00290726952061274
"B cells","KAECH_NAIVE_VS_MEMORY_CD8_TCELL_UP",1.80446570797745,3.01902720960858e-05,0.00137388725720842
"B cells","GSE22229_RENAL_TRANSPLANT_VS_HEALTHY_PBMC_UP",1.803268061516,0.000121879262518069,0.00394452950944239
