"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Ppcdc",1.08438624811653e-108,-0.265622531667141,0.13,0.197,2.06629799578606e-104
"Ppcs",1.66693612765691e-24,-0.215454524394454,0.009,0.017,3.17634679125025e-20
"Ppdpf",2.06837252418814e-10,-0.176768212300446,0.054,0.058,3.9412838448405e-06
"Ppef1",0.1599978382831,-3.0293672940184,0,0,1
"Ppef2",0.122572794929091,-0.937077735512522,0.001,0.001,1
"Ppfia1",7.37769469900066e-50,0.105626565482598,0.105,0.123,1.40581972489458e-45
"Ppfia2",1.75331234527146e-07,0.60044579847118,0.003,0.002,0.00334093667391477
"Ppfia3",0.967895033944404,0.579805079227348,0.003,0.003,1
"Ppfia4",1.72640061350066e-13,0.215907383253929,0.021,0.024,3.28965636902551e-09
"Ppfibp1",1.34238476505329e-30,0.192967102165543,0.01,0.013,2.55791416980905e-26
"Ppfibp2",5.98650564044462e-18,0.157143705675217,0.04,0.053,1.14072864978672e-13
"Pphln1",5.30805232974524e-51,0.0138203509932376,0.121,0.155,1.01144937143296e-46
"Ppia",6.62458941463032e-69,-0.0868169867798045,0.269,0.313,1.26231551295781e-64
"Ppib",4.79870123539355e-21,0.0936211896451589,0.337,0.386,9.1439252040424e-17
"Ppic",0.0230011073509223,-1.90879603987019,0,0,1
"Ppid",5.02600076127212e-221,-0.851346258360757,0.037,0.094,9.57704445060402e-217
"Ppie",6.94283368136356e-08,0.325497186247088,0.047,0.051,0.00132295695798383
"Ppif",0.0359028720128356,0.424095345308327,0.005,0.005,1
"Ppig",3.38487095991407e-96,-0.0766268669938659,0.141,0.19,6.44987161411627e-92
"Ppil1",0.656189791385777,0.560427666548509,0.011,0.009,1
"Ppil2",1.75883840809267e-152,-0.386932570894461,0.112,0.184,3.35146658662059e-148
"Ppil3",1.48924581817959e-86,-0.72780362826637,0.016,0.041,2.83775790654121e-82
"Ppil4",3.13520241201804e-84,-0.28936626816068,0.041,0.073,5.97412819610037e-80
"Ppil6",8.98588708155836e-07,0.00971181409435573,0,0,0.0171226078339095
"Ppip5k1",3.2839651234483e-21,0.0106405602540063,0.019,0.023,6.25759554273075e-17
"Ppip5k2",2.75540417067373e-127,-0.32369076797143,0.077,0.13,5.25042264721879e-123
"Ppl",0.963531278152944,2.30923567322228,0,0,1
"Ppm1a",2.85010422585259e-265,-0.824890807334856,0.064,0.148,5.43087360236212e-261
"Ppm1b",3.62389895629893e-52,0.00502916487202443,0.055,0.079,6.90533946122761e-48
"Ppm1d",1.92625494595955e-36,0.14306321085879,0.025,0.027,3.67047879952592e-32
"Ppm1e",0.00034017164363231,0.197017922355109,0.002,0.002,1
"Ppm1f",4.56763720782228e-13,0.271141468652056,0.032,0.042,8.70363269950536e-09
"Ppm1g",1.2444301416303e-64,0.116402677588062,0.101,0.135,2.37126163487653e-60
"Ppm1h",1.69000097679974e-174,-0.375125397451921,0.091,0.167,3.22029686129191e-170
"Ppm1j",0.0564730161809703,0.420708027673435,0.001,0.001,1
