"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Riok2",2.89515825042092e-13,0.469623237682357,0.075,0.081,5.51672404617707e-09
"Riok3",2.31012076679824e-100,-0.0431478074070929,0.133,0.203,4.40193512113404e-96
"Ripk1",6.5751989883174e-103,0.0146492852383025,0.201,0.276,1.25290416722388e-98
"Ripk2",7.49503406200621e-57,0.0820266573080585,0.08,0.12,1.42817874051528e-52
"Ripk3",0.920840182071632,0.49101504163316,0.054,0.052,1
"Ripk4",0.0475029827490875,-1.33938212877949,0,0,1
"Ripor1",1.6771947537109e-37,0.288943234573532,0.021,0.019,3.19589460319612e-33
"Ripor2",6.46357823209649e-17,-0.811539824698105,0.003,0.008,1.23163483212599e-12
"Ripor3",0.873327821875774,0.579084016414729,0,0,1
"Ripply1",0.451314248739462,0.366703209050398,0,0,1
"Ripply2",0.082993072931423,1.91299475332664,0,0,1
"Ripply3",0.294252763205857,-0.232438335863613,0,0.001,1
"Rit1",1.47329440421651e-17,0.174356296955716,0.047,0.058,2.80736248723456e-13
"Rit2",7.00494296736525e-14,0.512532102250955,0.001,0.002,1.33479188243145e-09
"Rita1",0.116066341074188,1.404940816442,0.001,0,1
"Rlbp1",1.39730612940979e-08,-3.72293400343428,0,0,0.000266256682959036
"Rlf",8.72727590298341e-258,-0.598888140837876,0.08,0.171,1.66298242331349e-253
"Rlim",0.00258412047220294,0.562413580236561,0.269,0.293,1
"Rln1",0.420281912570587,0.624759527440245,0,0,1
"Rln3",0.15126872537732,4.26699508104059,0,0,1
"Rmc1",0.00510999044801618,0.547333172207602,0.063,0.062,1
"Rmdn1",1.62535974657298e-57,-0.444351726896846,0.016,0.033,3.09712299709481e-53
"Rmdn2",6.3629476201686e-60,-6.431122172581,0,0.008,1.21245966902313e-55
"Rmdn3",6.79657644859161e-31,1.20534799468481,0.008,0.003,1.29508764227913e-26
"Rmi1",2.95732223954161e-79,0.0557727363719673,0.102,0.155,5.63517752744654e-75
"Rmi2",0.0110735626508742,2.84705445005419,0.001,0,1
"Rmnd1",4.66195193451304e-157,-0.280493043849223,0.075,0.141,8.88334941121459e-153
"Rmnd5a",1.0138893209326e-171,-0.926062769280015,0.021,0.062,1.93196610103706e-167
"Rmnd5b",1.52227767733251e-09,0.518342612805118,0.016,0.017,2.9007001141571e-05
"Rnase1",0.420382838691907,3.82639971415115,0,0,1
"Rnase10",0.00130944195961361,-0.794017119147719,0.001,0.002,1
"Rnase11",0.0781789902317187,-2.63027121478116,0,0,1
"Rnase12",0.0628240159639784,-0.194703917934936,0,0.001,1
"Rnase13",0.420180999733072,-4.5229319542068,0,0,1
"Rnase2a",6.98313127892169e-06,2.04928892887015,0.004,0.001,0.133063566519853
"Rnase2b",0.306052145658114,-0.166205635575219,0,0,1
"Rnase4",0,-1.23476203325529,0.427,0.729,0
"Rnase6",2.90275842225473e-26,0.138207948169994,0.021,0.029,5.53120617360639e-22
"Rnase9",0.383205964689913,0.0418917049961056,0,0,1
"Rnaseh1",9.30046782371627e-29,0.126969866281185,0.045,0.057,1.77220414380914e-24
"Rnaseh2a",2.05955058447364e-12,0.644750276377882,0.048,0.051,3.92447363871452e-08
"Rnaseh2b",5.8455781159682e-108,-0.498076884664648,0.03,0.067,1.11387490999774e-103
"Rnaseh2c",0.00914809955119319,0.18684488778532,0.012,0.014,1
"Rnasek",3.52082976497329e-167,-0.252556306950508,0.306,0.437,6.70894111715661e-163
