"pathway","pval","padj","log2err","ES","NES","size","leadingEdge","contrast"
"HALLMARK_UNFOLDED_PROTEIN_RESPONSE",0.354812836128752,1,0.203508959461977,-0.234531626784287,-1.00618355841333,110,"Kif5b;Vegfa;Cnot6;Mthfd2;Paip1;Dctn1;Eif4e;Hyou1;Ddit4;Ero1a;Nfyb;Sdad1;Yif1a;Eif2s1;Serp1;Parn;Igfbp1;Asns;Atp6v0d1;Eif4g1;Eif4a3;Dkc1;Cnot2;Xpot;Slc30a5;Ywhaz;Dnajb9;Ccl2;Spcs3;Exosc10;Spcs1;Gosr2;Mtrex;Cnot4;Dcp2;Eif4ebp1;Calr;Hspa9;Arfgap1;Eif4a1;Atf6;Dcp1a;Kdelr3","41BB-L vs CD8-41BB"
"HALLMARK_KRAS_SIGNALING_UP",0.42957042957043,1,0.0525898950623616,0.380723305940822,1.02469823852568,202,"Tnnt2;Plvap;Igf2;Nap1l2;Mall;Igfbp3;Snap25;Angptl4;Abcb1a;Adgrl4;Reln;Etv4;Apod;Rbp4;Pcsk1n;Kif5c;Ephb2;Btc;Mmp11;Nr1h4;Btbd3;Peg3;Aldh1a3;Mycn;Gucy1a1;Il33;Snap91;Cfhr1;F2rl1;Scg5;Scg3;Rgs16;Itga2;Gabra3;Gng11;Sparcl1;Pcp4;Map7;Gprc5b;Retn;Plat;Plek2;Fgf9;Gpnmb;Prrx1;Klf4","41BB-L vs CD8-41BB"
"HALLMARK_BILE_ACID_METABOLISM",0.461693548387097,1,0.0496901392724606,0.385207580051735,1.01908641270827,112,"Ttr;Sult2b1;Dio2;Bbox1;Dio1;Nr1i2;Abca4;Klf1;Slc23a1;Abca8b;Pfkm;Nr1h4;Hao1;Slc27a2;Pxmp2;Abcg4;Nedd4;Fads2;Cyp7a1;Gc;Ar;Fdxr;Aldh8a1;Abcg8;Pex11g;Slc27a5;Paox;Pex16;Pex26;Rbp1;Mlycd;Pex11a;Slc35b2;Lck;Cyp8b1;Atxn1;Nudt12;Sult1b1;Cyp46a1","41BB-L vs CD8-41BB"
"HALLMARK_ESTROGEN_RESPONSE_EARLY",0.505494505494505,1,0.0451344222209097,0.374377901800028,1.00894575829646,195,"Reep1;Sult2b1;Mpped2;Cxcl12;Krt18;Npy1r;Gfra1;Rapgefl1;Farp1;Adcy1;Fhl2;Pdzk1;Calb2;Dhrs2;Tff3;Calcr;Esrp2;Elovl2;Thsd4;Zfp185;Wwc1;Mapt;Ret;Kazn;Hspb8;Syt12;Rhod;Slc27a2;Krt8;Rab17;Tpd52l1;Clic3;Lrig1;Ccn5;Sox3;Tff1;Dlc1;Aqp3;Bcl2;Klf4;Ar;Sybu;Slc1a4;Fdft1;Greb1;Rhobtb3","41BB-L vs CD8-41BB"
"HALLMARK_ESTROGEN_RESPONSE_LATE",0.555444555444555,1,0.0408229003677776,0.367900778575558,0.99018703051816,202,"Sult2b1;Perp;Cxcl12;Ascl1;Gper1;Npy1r;Prlr;Rapgefl1;Farp1;Pdzk1;Dhrs2;Tff3;Calcr;Emp2;Cav1;Kif20a;Plxnb1;Acox2;Hmgcs2;Cyp4f15;Mapt;Ret;Cdc20;Dlg5;Igsf1;Gjb3;Hspb8;Fgfr3;Slc27a2;Top2a;Tpd52l1;Clic3;Th;Ccn5;Sox3;Tff1;Serpina5;Cacna2d2;Pcp4;Trim29;Unc13b;Bcl2;Scube2;Klf4;Pdcd4;Slc1a4;Fdft1;Dusp2;Celsr2","41BB-L vs CD8-41BB"
"HALLMARK_UV_RESPONSE_DN",0.559118236472946,1,0.0406579344155557,0.368001666306064,0.981855937253461,142,"Id1;Col11a1;Sdc2;Fhl2;Kalrn;Irs1;Arhgef9;Cav1;Map1b;Scn8a;Fzd2;Cap2;Pik3r3;Amph;Bdnf;Rgs4;Col3a1;Lpar1;Schip1;Col5a2;Efemp1","41BB-L vs CD8-41BB"
"HALLMARK_HYPOXIA",0.577422577422577,1,0.0390355298112393,0.364262843869171,0.981464452205757,197,"Inha;Sult2b1;Ackr3;Sdc2;Cavin1;Gpc3;Gpc4;Efna1;Dcn;Aldob;Igfbp3;Gapdhs;Pklr;Ncan;Angptl4;Efna3;Kif5a;Cav1;Stbd1;Dpysl4;Bcan;Gpc1;Tmem45a;Rora;Col5a1;Aldoc;Dtna","41BB-L vs CD8-41BB"
"HALLMARK_GLYCOLYSIS",0.604395604395604,1,0.0369160593316849,0.361398636436866,0.973407756182887,199,"Chpf;Lhx9;Sdc2;Nol3;B3gat1;Cth;Gpc3;Gpc4;Dcn;Aldob;Igfbp3;Gapdhs;Tff3;Angptl4;Plod2;Cldn3;Efna3;Kif20a;Ndst3;Pcx;Dpysl4;Gpc1;Stmn1;Col5a1;Hs6st2","41BB-L vs CD8-41BB"
"HALLMARK_HEDGEHOG_SIGNALING",0.643243243243243,1,0.0376923295943841,0.371161859213861,0.907237712998084,36,"Scg2;Cntfr;Nkx6-1;Hey1;Shh;Crmp1;Nrcam","41BB-L vs CD8-41BB"
"HALLMARK_INTERFERON_ALPHA_RESPONSE",0.64757180644904,1,NA,-0.197715685650323,-0.785801218860237,96,"Ifitm3;C1s1;Sell;B2m;Il7;Procr;Psma3;Ifitm1;Cnp;Plscr1;Elf1;Ifitm2;H2-Q7;Gbp2;Wars1;Trim5;Lamp3;Slc25a28;Ddx60;Trim12c;Tdrd7;Eif2ak2;Psme1;Parp9;Cd74;Il15;Parp14;Ifi27;Ifi30","41BB-L vs CD8-41BB"
