"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Niban1",2.32262827062509e-05,-0.00572771324438937,0.043,0.051,0.44257681696761
"Niban2",3.77193685291082e-07,0.17046296380743,0.169,0.149,0.00718742567322157
"Niban3",0.901470873880681,-0.76675430477948,0.002,0.003,1
"Nicn1",0.0884800816967714,-1.7534305285871,0.001,0.002,1
"Nid1",0.0379706802240138,-0.997912052339245,0,0,1
"Nid2",5.60365139231992e-11,0.853178563881161,0.01,0.004,1.06777577280656e-06
"Nif3l1",0.00558609434678525,-0.487909356857555,0.015,0.018,1
"Nifk",0.0148196100610771,-0.520319996764528,0.038,0.045,1
"Nim1k",0.681351514704122,-2.6758758009813,0,0.001,1
"Nin",0.0168472401630089,-0.323333009638834,0.074,0.08,1
"Ninj1",5.24172982040746e-07,0.123055261191908,0.433,0.418,0.00998811617278642
"Ninj2",0.148938140617767,-0.999259464081394,0,0,1
"Ninl",0.0690238275887821,0.289161876217392,0.018,0.016,1
"Nip7",0.269581328870782,0.0643141978828261,0.033,0.035,1
"Nipa1",0.322256469295136,2.26782566130853,0.001,0,1
"Nipa2",0.00242229721655683,-0.27074183913743,0.245,0.256,1
"Nipal1",0.437463388362593,-0.771128219191814,0,0.001,1
"Nipal2",0.256768930321473,-1.60285803262753,0,0,1
"Nipal3",0.291768093436876,0.155376147730234,0.04,0.035,1
"Nipal4",0.31752013246768,-0.0987240009422692,0,0,1
"Nipbl",3.20461649308706e-05,0.177067884873335,0.138,0.119,0.610639672757739
"Nipsnap1",0.0003369051878899,-1.30268840243475,0.003,0.006,1
"Nipsnap2",0.00479308841235684,-0.366465834007561,0.011,0.015,1
"Nipsnap3a",0.119075682945507,5.07433216021747,0,0,1
"Nipsnap3b",0.0738409818454427,0.0433536410227269,0.081,0.084,1
"Nisch",2.7136209917233e-26,0.108409593189153,0.336,0.285,5.17080479972875e-22
"Nit1",0.115250200096019,0.460133238970847,0.041,0.033,1
"Nit2",0.00219867486368249,-0.648137246406731,0.014,0.018,1
"Nkain1",0.211925815292357,-1.08929962897513,0,0,1
"Nkain2",0.0189614295744165,5.66706490385324,0,0,1
"Nkain3",0.247830802136571,-0.0299057177271429,0,0,1
"Nkain4",0.283631852412208,-3.23531463597509,0,0,1
"Nkap",0.000331332782582998,-0.387984851108671,0.017,0.02,1
"Nkapd1",0.176693481812907,-0.151017441883093,0.064,0.069,1
"Nkapl",0.909365011006439,-0.738760315494584,0.001,0.001,1
"Nkd1",0.61079159356828,0.280653153547,0,0,1
"Nkd2",0.531136455460069,2.70492196555344,0,0,1
"Nkg7",0.113989299208208,-1.02911897186079,0.001,0.001,1
"Nkiras1",0.692123880933932,-0.20536071176647,0.009,0.007,1
"Nkiras2",0.0014372233672451,-0.291755249991333,0.09,0.1,1
"Nkpd1",0.538212164469847,-1.15132754771046,0,0,1
"Nkrf",0.157581937440317,-0.557390252411242,0.006,0.005,1
"Nktr",6.42643103840413e-17,0.229619899359202,0.31,0.274,1.22455643436791e-12
"Nkx1-1",0.68078813733844,-1.04248778670041,0,0,1
"Nkx1-2",0.199451841871357,-3.79876154680656,0,0,1
"Nkx2-1",0.0562611269131807,5.39427947576727,0,0,1
