comparison	cell_group	n_neighborhoods	median_logFC	mean_logFC	q25_logFC	q75_logFC	fraction_positive_logFC	n_nominal	fraction_nominal	median_logFC_nominal	min_p_value	min_spatial_fdr	median_cell_group_fraction	neg_log10_min_p
CD8-41BB vs STOP	Stress-response microglia	1539	-2.00336507374877	-2.29877596176993	-3.6242877573825	-0.687889714856147	0.148148148148148	539	0.350227420402859	-4.17038666366808	0.000636437488571872	0.236426272544598	1	3.19624424668671
CD8-41BB vs STOP	Inflammatory TAMs	167	3.89458152126747	4.16102483176323	2.72950897620818	5.44375792177486	0.964071856287425	112	0.67065868263473	4.85702590830971	0.000738440884769939	0.236426272544598	1	3.13168426602003
CD8-41BB vs STOP	Homeostatic microglia	535	-4.24919255310477	-3.49225382475965	-6.31876141465455	-0.716892954466909	0.190654205607477	225	0.420560747663551	-6.43018723270882	0.00113696319694923	0.236426272544598	1	2.94425359302603
CD8-41BB vs STOP	Perivascular macrophages	251	0.305842421156261	0.3903883826071	-0.373924344660224	1.05528525154221	0.589641434262948	13	0.051792828685259	3.33462518261421	0.00265555726790854	0.236426272544598	1	2.57584432844989
CD8-41BB vs STOP	TAM-like phagocytic microglia	919	-0.478002329390762	-0.54227679903053	-1.33973979211602	0.333529539668581	0.339499455930359	32	0.0348204570184984	-5.07810789063549	0.00285874012946515	0.236426272544598	1	2.5438253218959
CD8-41BB vs STOP	Inflammatory monocytes	88	1.00491150334268	0.976029825548049	0.218099976030426	1.46283480111629	0.840909090909091	3	0.0340909090909091	5.20309319271029	0.00370705389940922	0.236426272544598	1	2.43097109941801
CD8-41BB vs STOP	Inflammatory activated microglia	655	-0.225398823343108	-0.144446213949897	-1.09809655195199	0.738120867693718	0.429007633587786	34	0.0519083969465649	2.73352120349519	0.00394471129854546	0.236426272544598	1	2.4039847759873
CD8-41BB vs STOP	Antigen-presenting monocytes	197	0.919124763069348	0.938722202705276	-0.00826973598277378	1.67209203925856	0.741116751269036	9	0.0456852791878173	3.48747508483274	0.00634145832313295	0.236426272544598	1	2.19781085744
CD8-41BB vs STOP	Lipid-associated TAMs	275	0.647869572776552	0.856639272870035	-0.215834929309522	1.7487919101099	0.698181818181818	17	0.0618181818181818	5.34253532961579	0.00897757800823255	0.238399933430588	1	2.04684081250122
CD8-41BB vs STOP	Perivascular macrophages (chemokine-producing)	173	-0.186772056459874	-0.0839463401815539	-0.800662867044244	0.525680864963177	0.416184971098266	3	0.0173410404624277	3.66733299932797	0.0145570596133605	0.238399933430588	1	1.83692633949096
CD8-41BB vs STOP	cDC1	114	1.34856490106358	1.28021872865387	0.784816121925846	1.91563810106214	0.921052631578947	3	0.0263157894736842	4.11756283073343	0.0184947580956571	0.245692475662502	1	1.7329513447167
tumor vs STOP	Angiogenic TAMs	775	-2.39251558558035	-2.36897867841853	-3.88336917986753	-0.779283019537786	0.100645161290323	130	0.167741935483871	-5.32511391438144	0.00194795874096953	0.97836050316388	1	2.710420245999
tumor vs STOP	Perivascular macrophages	251	0.561718320150839	0.788731497278813	0.0921022637176934	1.30624017500916	0.792828685258964	11	0.0438247011952191	3.090217530438	0.00423205098552269	0.97836050316388	1	2.37344910879003
tumor vs STOP	Lipid-associated TAMs	275	-0.616928844188228	-0.830319446697777	-2.32764934272045	0.173393077427581	0.316363636363636	15	0.0545454545454545	-4.81080099569963	0.00500040073858	0.97836050316388	1	2.30099518934799
tumor vs STOP	TAM-like phagocytic microglia	919	-0.492459351297085	-0.581412528962457	-1.33953926364365	0.296884887438775	0.336235038084875	41	0.044613710554951	-4.08265500028533	0.00524743890978878	0.97836050316388	1	2.28005260873338
tumor vs STOP	Antigen-presenting TAMs	639	-0.532886710631941	-0.592793277059531	-1.79166549947054	0.681504903471994	0.389671361502347	37	0.0579029733959311	-4.53465434646815	0.00637402975706137	0.97836050316388	0.992592592592593	2.19558591336034
tumor vs STOP	Homeostatic microglia	535	-0.365182169203094	-0.383928748329896	-1.24431612969357	0.40529943019949	0.362616822429907	15	0.0280373831775701	-3.17411531297703	0.00696128580945137	0.97836050316388	1	2.15731053504837
tumor vs STOP	Antigen-presenting monocytes	197	-0.948260485498758	-1.2194527415101	-1.78075837064507	-0.301414160545308	0.116751269035533	6	0.0304568527918782	-5.13209599463422	0.0123901087206806	0.97836050316388	1	1.90692488276159
tumor vs STOP	Inflammatory TAMs	167	-3.37811293285422	-3.01873427531729	-4.65573672833522	-2.45235213444479	0.00598802395209581	20	0.119760479041916	-5.87287338440589	0.0167250732382346	0.97836050316388	1	1.7766319718028
tumor vs STOP	cDC1	114	-0.966580152659068	-1.31425731777862	-1.76724315519951	-0.453570255343577	0.114035087719298	8	0.0701754385964912	-4.71940498592045	0.0174804924838161	0.97836050316388	1	1.7574463360042
tumor vs STOP	Inflammatory monocytes	88	-0.841168945061787	-0.709612025042658	-1.26337129255226	-0.134088502996819	0.193181818181818	1	0.0113636363636364	-2.91138304563354	0.0257534126305828	0.97836050316388	1	1.58916521367407
tumor vs STOP	Stress-response microglia	1539	-0.351855657970487	-0.333568911543636	-0.88006733401201	0.18235699459075	0.332683560753736	5	0.0032488628979857	-2.95444432733094	0.033754484691078	0.97836050316388	1	1.47166851773084
tumor vs STOP	Inflammatory activated microglia	655	-0.291122764295464	-0.203545517720226	-0.731213782403482	0.267854334593378	0.352671755725191	2	0.00305343511450382	0.00698106283304112	0.0372874687468767	0.97836050316388	1	1.428437097641
tumor vs STOP	Perivascular macrophages (chemokine-producing)	173	0.605719493889093	0.600192641254203	-0.00803923418443391	1.22074121457736	0.745664739884393	2	0.0115606936416185	2.77906712455166	0.0481832637778173	0.97836050316388	1	1.31710378564343
tumor vs STOP	Early activated microglia	913	-0.0175100273994323	0.0107534276988769	-0.401484556569522	0.435202809623398	0.488499452354874	0	0	NA	0.059890960777426	0.97836050316388	1	1.22263871985973
